time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
LOW_LEVEL_DEPTH_ACTUATOR_INTERFACE_READY
350,1098,0,0.1249,1025.21,24.67,1,4.25
399,1098,0,0.1250,1025.22,24.74,1,4.24
449,1098,0,0.1249,1025.21,24.78,1,4.25
499,1098,0,0.1250,1025.22,24.81,1,4.27
549,1097,0,0.1248,1025.20,24.83,1,4.25
599,1099,0,0.1251,1025.23,24.84,1,4.25
649,1099,0,0.1252,1025.24,24.85,1,4.25
699,1098,0,0.1250,1025.22,24.86,1,4.25
749,1100,0,0.1250,1025.22,24.87,1,4.27
799,1099,0,0.1251,1025.23,24.87,1,4.27
849,1099,0,0.1250,1025.22,24.88,1,4.25
899,1099,0,0.1250,1025.22,24.88,1,4.25
949,1098,0,0.1255,1025.27,24.88,1,4.24
999,1098,0,0.1252,1025.24,24.89,1,4.25
1049,1099,0,0.1256,1025.28,24.89,1,4.27
1099,1098,0,0.1253,1025.25,24.89,1,4.24
1149,1098,0,0.1252,1025.24,24.89,1,4.27
1199,1098,0,0.1252,1025.24,24.89,1,4.24
1249,1099,0,0.1254,1025.26,24.89,1,4.24
1299,1098,0,0.1256,1025.28,24.89,1,4.27
1349,1099,0,0.1252,1025.24,24.89,1,4.25
1399,1098,0,0.1252,1025.24,24.90,1,4.25
1449,1098,0,0.1254,1025.26,24.90,1,4.25
1499,1098,0,0.1252,1025.24,24.90,1,4.25
1549,1099,0,0.1252,1025.24,24.90,1,4.25
1599,1099,0,0.1254,1025.26,24.90,1,4.25
1649,1098,0,0.1254,1025.26,24.90,1,4.27
1699,1099,0,0.1251,1025.23,24.90,1,4.25
1749,1099,0,0.1254,1025.26,24.90,1,4.24
1799,1098,0,0.1256,1025.28,24.90,1,4.24
1849,1098,0,0.1253,1025.25,24.90,1,4.25
1899,1099,0,0.1255,1025.27,24.90,1,4.27
1949,1099,0,0.1251,1025.23,24.90,1,4.25
1999,1099,0,0.1256,1025.28,24.90,1,4.24
2049,1099,0,0.1254,1025.26,24.90,1,4.24
2099,1098,0,0.1250,1025.22,24.90,1,4.25
2149,1099,0,0.1255,1025.27,24.91,1,4.24
2199,1098,0,0.1253,1025.25,24.90,1,4.27
2249,1099,0,0.1257,1025.29,24.90,1,4.27
2299,1098,0,0.1254,1025.26,24.90,1,4.24
2349,1098,0,0.1250,1025.22,24.90,1,4.27
2399,1098,0,0.1255,1025.27,24.91,1,4.25
2449,1098,0,0.1254,1025.26,24.90,1,4.25
2499,1098,0,0.1258,1025.30,24.90,1,4.25
2549,1098,0,0.1252,1025.24,24.90,1,4.24
2599,1099,0,0.1257,1025.29,24.91,1,4.25
2649,1099,0,0.1254,1025.26,24.91,1,4.27
2699,1099,0,0.1256,1025.28,24.90,1,4.25
2749,1098,0,0.1255,1025.27,24.91,1,4.24
2799,1100,0,0.1254,1025.26,24.90,1,4.25
2849,1098,0,0.1255,1025.27,24.91,1,4.25
2899,1098,0,0.1256,1025.28,24.90,1,4.24
2949,1099,0,0.1257,1025.29,24.91,1,4.24
2999,1099,0,0.1257,1025.29,24.91,1,4.24
3049,1098,0,0.1255,1025.27,24.91,1,4.25
3099,1098,0,0.1255,1025.27,24.91,1,4.25
3149,1098,0,0.1254,1025.26,24.91,1,4.25
3199,1098,0,0.1254,1025.26,24.91,1,4.24
3249,1098,0,0.1255,1025.27,24.90,1,4.27
3299,1099,0,0.1257,1025.29,24.91,1,4.25
3349,1098,0,0.1256,1025.28,24.91,1,4.25
3399,1098,0,0.1255,1025.27,24.91,1,4.24
3449,1098,0,0.1254,1025.26,24.90,1,4.25
3499,1099,0,0.1253,1025.25,24.91,1,4.25
3549,1099,0,0.1255,1025.27,24.91,1,4.27
3599,1098,0,0.1253,1025.25,24.91,1,4.27
3649,1099,0,0.1257,1025.29,24.91,1,4.25
3699,1099,0,0.1254,1025.26,24.91,1,4.25
3749,1099,0,0.1253,1025.25,24.90,1,4.25
3799,1098,0,0.1255,1025.27,24.91,1,4.25
3849,1099,0,0.1253,1025.25,24.91,1,4.24
3899,1098,0,0.1252,1025.24,24.90,1,4.24
3949,1098,0,0.1258,1025.30,24.91,1,4.24
3999,1099,0,0.1255,1025.27,24.91,1,4.27
4049,1098,0,0.1257,1025.29,24.91,1,4.25
4099,1098,0,0.1254,1025.26,24.91,1,4.24
4149,1098,0,0.1254,1025.26,24.91,1,4.24
4199,1099,0,0.1256,1025.28,24.91,1,4.24
4249,1098,0,0.1255,1025.27,24.91,1,4.25
4299,1099,0,0.1256,1025.28,24.91,1,4.25
4349,1099,0,0.1254,1025.26,24.91,1,4.24
4399,1098,0,0.1254,1025.26,24.91,1,4.24
4449,1099,0,0.1256,1025.28,24.91,1,4.24
4499,1098,0,0.1257,1025.29,24.91,1,4.25
4549,1099,0,0.1255,1025.27,24.91,1,4.24
4599,1098,0,0.1255,1025.27,24.91,1,4.27
4649,1098,0,0.1254,1025.26,24.91,1,4.25
4699,1097,0,0.1253,1025.25,24.91,1,4.27
4749,1098,0,0.1254,1025.26,24.91,1,4.25
4799,1099,0,0.1253,1025.25,24.91,1,4.24
4849,1098,0,0.1255,1025.27,24.91,1,4.27
4899,1099,0,0.1249,1025.21,24.91,1,4.27
4949,1099,0,0.1251,1025.23,24.91,1,4.24
4999,1098,0,0.1254,1025.26,24.91,1,4.25
5049,1098,0,0.1252,1025.24,24.91,1,4.24
5099,1100,0,0.1252,1025.24,24.91,1,4.24
5149,1098,0,0.1253,1025.25,24.91,1,4.27
5199,1098,0,0.1254,1025.26,24.91,1,4.25
5249,1098,0,0.1257,1025.29,24.91,1,4.27
5299,1099,0,0.1255,1025.27,24.91,1,4.25
5349,1099,0,0.1255,1025.27,24.91,1,4.25
5399,1099,0,0.1256,1025.28,24.91,1,4.25
5449,1099,0,0.1254,1025.26,24.91,1,4.24
5499,1099,0,0.1254,1025.26,24.91,1,4.27
5549,1099,0,0.1253,1025.25,24.91,1,4.27
5599,1099,0,0.1252,1025.24,24.91,1,4.25
5649,1098,0,0.1252,1025.24,24.91,1,4.25
5699,1099,0,0.1254,1025.26,24.91,1,4.24
5749,1098,0,0.1255,1025.27,24.91,1,4.24
5799,1099,0,0.1254,1025.26,24.91,1,4.25
5849,1099,0,0.1250,1025.22,24.91,1,4.25
5899,1098,0,0.1255,1025.27,24.91,1,4.25
5949,1098,0,0.1251,1025.23,24.91,1,4.25
5999,1098,0,0.1259,1025.31,24.91,1,4.24
6049,1099,0,0.1255,1025.27,24.91,1,4.25
6099,1099,0,0.1258,1025.30,24.91,1,4.25
6149,1098,0,0.1256,1025.28,24.91,1,4.25
6199,1098,0,0.1257,1025.29,24.91,1,4.25
6249,1098,0,0.1252,1025.24,24.91,1,4.25
6299,1098,0,0.1253,1025.25,24.91,1,4.24
6349,1099,0,0.1255,1025.27,24.91,1,4.27
6399,1098,0,0.1254,1025.26,24.91,1,4.24
6449,1099,0,0.1255,1025.27,24.91,1,4.27
6499,1098,0,0.1254,1025.26,24.91,1,4.27
6549,1099,0,0.1254,1025.26,24.91,1,4.25
6599,1098,0,0.1254,1025.26,24.91,1,4.24
6649,1098,0,0.1255,1025.27,24.91,1,4.25
6699,1098,0,0.1254,1025.26,24.91,1,4.27
6749,1099,0,0.1254,1025.26,24.91,1,4.24
6799,1098,0,0.1255,1025.27,24.91,1,4.25
6849,1098,0,0.1256,1025.28,24.91,1,4.27
6899,1098,0,0.1256,1025.28,24.91,1,4.25
6949,1098,0,0.1256,1025.28,24.91,1,4.24
6999,1098,0,0.1255,1025.27,24.91,1,4.25
7049,1098,0,0.1256,1025.28,24.91,1,4.24
7099,1099,0,0.1254,1025.26,24.91,1,4.24
7149,1099,0,0.1251,1025.23,24.91,1,4.25
7199,1099,0,0.1256,1025.28,24.91,1,4.25
7249,1099,0,0.1255,1025.27,24.91,1,4.24
7299,1098,0,0.1255,1025.27,24.91,1,4.24
7349,1098,0,0.1257,1025.29,24.91,1,4.25
7399,1099,0,0.1255,1025.27,24.91,1,4.27
7449,1099,0,0.1254,1025.26,24.91,1,4.25
7499,1099,0,0.1254,1025.26,24.91,1,4.24
7549,1098,0,0.1256,1025.28,24.91,1,4.24
7599,1099,0,0.1256,1025.28,24.91,1,4.27
7649,1099,0,0.1257,1025.29,24.91,1,4.25
7699,1099,0,0.1254,1025.26,24.91,1,4.27
7749,1099,0,0.1256,1025.28,24.91,1,4.27
7799,1099,0,0.1250,1025.22,24.91,1,4.24
7849,1099,0,0.1255,1025.27,24.91,1,4.25
7899,1099,0,0.1257,1025.29,24.91,1,4.24
7949,1099,0,0.1255,1025.27,24.91,1,4.24
7999,1099,0,0.1256,1025.28,24.91,1,4.24
8050,1098,0,0.1255,1025.27,24.91,1,4.25
8099,1099,0,0.1256,1025.28,24.91,1,4.25
8149,1098,0,0.1254,1025.26,24.91,1,4.24
8199,1099,0,0.1255,1025.27,24.91,1,4.24
8249,1098,0,0.1254,1025.26,24.91,1,4.24
8299,1099,0,0.1252,1025.24,24.91,1,4.25
8349,1099,0,0.1255,1025.27,24.91,1,4.25
8399,1099,0,0.1256,1025.28,24.91,1,4.27
8449,1099,0,0.1255,1025.27,24.91,1,4.27
8499,1099,0,0.1256,1025.28,24.91,1,4.27
8549,1099,0,0.1251,1025.23,24.91,1,4.25
8599,1098,0,0.1253,1025.25,24.91,1,4.25
8649,1098,0,0.1256,1025.28,24.91,1,4.25
8699,1099,0,0.1255,1025.27,24.91,1,4.25
8749,1099,0,0.1257,1025.29,24.91,1,4.25
8799,1098,0,0.1252,1025.24,24.91,1,4.25
8849,1099,0,0.1256,1025.28,24.91,1,4.25
8899,1099,0,0.1254,1025.26,24.91,1,4.27
8949,1099,0,0.1255,1025.27,24.91,1,4.25
8999,1098,0,0.1253,1025.25,24.91,1,4.24
9049,1100,0,0.1254,1025.26,24.91,1,4.24
9099,1098,0,0.1257,1025.29,24.91,1,4.24
9149,1098,0,0.1257,1025.29,24.91,1,4.25
9199,1098,0,0.1255,1025.27,24.91,1,4.25
9249,1099,0,0.1254,1025.26,24.91,1,4.27
9299,1099,0,0.1257,1025.29,24.91,1,4.24
9349,1099,0,0.1255,1025.27,24.91,1,4.25
9399,1098,0,0.1256,1025.28,24.91,1,4.27
9449,1099,0,0.1254,1025.26,24.91,1,4.25
9499,1099,0,0.1253,1025.25,24.91,1,4.25
9549,1099,0,0.1258,1025.30,24.91,1,4.25
9599,1099,0,0.1254,1025.26,24.91,1,4.25
9649,1099,0,0.1256,1025.28,24.91,1,4.27
9699,1099,0,0.1253,1025.25,24.91,1,4.24
9749,1099,0,0.1257,1025.29,24.91,1,4.27
9799,1099,0,0.1258,1025.30,24.91,1,4.27
9849,1097,0,0.1252,1025.24,24.91,1,4.25
9899,1098,0,0.1257,1025.29,24.91,1,4.25
