time_s,depth_filtered_m,depth_setpoint_m,actuator_mm,actuator_setpoint_mm,motor_cmd
0.354,0.1707,None,0.061,None,0
0.403,0.1707,None,0.061,None,0
0.453,0.1706,None,0.061,None,-217
0.503,0.1706,None,0.073,None,-255
0.553,0.1706,None,0.073,None,-255
0.603,0.1706,None,0.061,None,-1
0.653,0.1706,None,0.073,None,-1
0.703,0.1706,None,0.061,None,7
0.753,0.1706,None,0.061,None,169
0.809,0.1706,None,0.085,None,255
0.853,0.1706,None,0.305,None,255
0.903,0.1707,None,1.514,None,255
0.953,0.1707,None,3.077,None,255
1.009,0.1707,None,4.75,None,255
1.053,0.1707,None,6.361,None,255
1.103,0.1707,None,8.095,None,255
1.153,0.1708,None,9.719,None,255
1.203,0.1708,None,11.27,None,255
1.253,0.1708,None,12.747,None,255
1.303,0.1708,None,14.359,None,255
1.353,0.1708,None,15.983,None,255
1.403,0.1708,None,17.717,None,255
1.453,0.1708,None,19.499,None,255
1.503,0.1707,None,21.245,None,255
1.553,0.1707,None,23.065,None,255
1.603,0.1707,None,24.945,None,255
1.653,0.1707,None,26.716,None,255
1.703,0.1706,None,28.449,None,255
1.753,0.1707,None,30.183,None,255
1.803,0.1707,None,31.966,None,255
1.854,0.1707,None,33.761,None,255
1.903,0.1707,None,35.556,None,255
1.953,0.1707,None,37.118,None,255
2.003,0.1707,None,38.73,None,255
2.053,0.1707,None,40.317,None,255
2.103,0.1708,None,41.978,None,255
2.153,0.1708,None,43.748,None,255
2.203,0.1709,None,45.531,None,255
2.253,0.171,None,47.387,None,255
2.303,0.171,None,49.267,None,255
2.353,0.171,None,50.0,None,255
2.403,0.1712,None,50.0,None,255
2.453,0.1713,None,50.0,None,255
2.503,0.1714,None,50.0,None,255
2.553,0.1715,None,50.0,None,255
2.604,0.1716,None,50.0,None,255
2.653,0.1716,None,50.0,None,255
2.703,0.1721,None,50.0,None,255
2.753,0.1725,None,50.0,None,255
2.803,0.1737,None,50.0,None,255
2.853,0.175,None,50.0,None,255
2.903,0.1762,None,50.0,None,255
2.953,0.1794,None,50.0,None,255
3.003,0.1811,None,50.0,None,255
3.053,0.1841,None,50.0,None,255
3.103,0.1872,None,50.0,None,255
3.153,0.1909,None,50.0,None,153
3.203,0.1943,None,50.0,None,5
3.253,0.1987,None,50.0,None,-1
3.303,0.203,None,50.0,None,-1
3.353,0.2076,None,50.0,None,-1
3.403,0.2126,None,50.0,None,-1
3.453,0.2169,None,50.0,None,-1
3.503,0.2227,None,50.0,None,-1
3.553,0.2278,None,50.0,None,-1
3.603,0.2335,None,50.0,None,-1
3.653,0.2384,None,50.0,None,-1
3.703,0.2439,None,50.0,None,-1
3.754,0.2487,None,50.0,None,-1
3.803,0.2544,None,50.0,None,-1
3.853,0.2597,None,50.0,None,-1
3.903,0.2643,None,50.0,None,-1
3.953,0.2703,None,50.0,None,-1
4.003,0.2749,None,50.0,None,-1
4.053,0.2803,None,50.0,None,-1
4.103,0.2848,None,50.0,None,-1
4.153,0.2902,None,50.0,None,-1
4.203,0.2949,None,50.0,None,-1
4.253,0.2998,None,50.0,None,-1
4.303,0.3044,None,50.0,None,-1
4.353,0.3093,None,50.0,None,-1
4.403,0.3147,None,50.0,None,-1
4.453,0.3193,None,50.0,None,-1
4.503,0.3249,None,50.0,None,-1
4.553,0.329,None,50.0,None,-1
4.603,0.3348,None,50.0,None,-1
4.653,0.3396,None,50.0,None,-1
4.703,0.3456,None,50.0,None,-1
4.753,0.3508,None,50.0,None,-1
4.803,0.3567,None,50.0,None,-25
4.853,0.3623,None,50.0,None,-205
4.915,0.3679,None,50.0,None,-255
4.957,0.3744,None,48.376,None,-255
5.006,0.3796,None,45.983,None,-255
5.056,0.3865,None,44.042,None,-255
5.106,0.3919,None,42.125,None,-255
5.156,0.3991,None,40.085,None,-255
5.206,0.4047,None,38.376,None,-255
5.256,0.4172,None,36.496,None,-255
5.312,0.4172,None,34.725,None,-255
5.356,0.4239,None,33.016,None,-255
5.412,0.4239,None,30.806,None,-255
5.456,0.4303,None,29.023,None,-99
5.506,0.437,None,27.814,None,-81
