time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,19.243,45,0.8211,None,0
0.401,19.231,45,0.8212,None,0
0.451,18.608,45,0.8211,None,244
0.501,20.281,45,0.8211,None,244
0.552,21.807,45,0.821,None,251
0.601,23.614,45,0.821,None,229
0.651,25.336,45,0.821,None,229
0.701,26.984,45,0.821,None,216
0.751,28.254,45,0.8208,None,216
0.801,30.806,45,0.821,None,210
0.851,30.855,45,0.821,None,210
0.901,33.114,45,0.8211,None,201
0.951,33.602,45,0.8211,None,201
1.001,34.371,45,0.8211,None,191
1.051,35.14,45,0.8211,None,194
1.101,36.081,45,0.8212,None,194
1.151,36.667,45,0.8214,None,194
1.201,37.46,45,0.8214,None,187
1.251,38.156,45,0.8214,None,182
1.301,39.841,45,0.8215,None,181
1.351,39.243,45,0.8215,None,181
1.401,40.867,45,0.8224,None,177
1.451,40.366,45,0.8227,None,177
1.501,40.842,45,0.8232,None,177
1.551,41.368,45,0.8233,None,174
1.601,41.99,45,0.8234,None,170
1.651,42.54,45,0.8239,None,170
1.701,43.468,45,0.8239,None,165
1.751,43.956,45,0.824,None,165
1.801,43.919,45,0.824,None,160
1.851,43.858,45,0.824,None,160
1.901,44.774,45,0.8241,None,164
1.951,44.31,45,0.824,None,164
2.001,44.969,45,0.824,None,161
2.051,44.884,45,0.824,None,156
2.101,45.556,45,0.824,None,156
2.151,45.263,45,0.824,None,155
2.201,45.8,45,0.824,None,155
2.251,45.446,45,0.824,None,155
2.301,45.91,45,0.824,None,155
2.351,45.653,45,0.824,None,155
2.401,45.763,45,0.824,None,155
2.451,45.897,45,0.824,None,155
2.501,46.142,45,0.8239,None,157
2.551,46.117,45,0.8239,None,155
2.601,46.239,45,0.8239,None,155
2.651,46.374,45,0.8239,None,154
2.701,46.899,45,0.824,None,154
2.751,47.021,45,0.824,None,148
2.801,46.984,45,0.8241,None,148
2.851,46.63,45,0.8241,None,150
2.901,46.63,45,0.824,None,150
2.951,46.691,45,0.8241,None,150
3.001,46.801,45,0.8241,None,153
3.051,46.813,45,0.8241,None,151
3.101,47.277,45,0.8241,None,150
3.151,46.85,45,0.8242,None,150
3.201,46.886,45,0.8242,None,150
3.251,46.996,45,0.8242,None,150
3.301,47.436,45,0.8242,None,150
3.351,47.021,45,0.8242,None,146
3.401,47.021,45,0.8242,None,146
3.451,47.033,45,0.8241,None,150
3.501,47.033,45,0.824,None,149
3.551,47.057,45,0.824,None,149
3.601,47.363,45,0.824,None,148
3.651,47.07,45,0.824,None,148
3.701,47.766,45,0.824,None,148
3.751,47.106,45,0.824,None,148
3.801,47.241,45,0.824,None,142
3.851,47.057,45,0.8239,None,142
3.901,47.07,45,0.8239,None,149
3.951,47.363,45,0.824,None,148
4.001,47.216,45,0.824,None,145
4.051,47.375,45,0.8241,None,145
4.101,47.387,45,0.8241,None,146
4.151,47.021,45,0.8242,None,146
4.201,47.241,45,0.8242,None,148
4.251,47.155,45,0.8242,None,145
4.301,47.485,45,0.8242,None,145
4.351,47.338,45,0.8242,None,144
4.402,47.045,45,0.8242,None,144
4.451,47.057,45,0.8242,None,144
4.501,47.363,45,0.8241,None,148
4.551,47.082,45,0.8241,None,146
4.601,47.363,45,0.8241,None,146
4.651,47.643,45,0.8241,None,146
4.701,47.082,45,0.824,None,146
4.751,47.07,45,0.824,None,141
4.801,47.375,45,0.824,None,148
4.851,47.265,45,0.8239,None,143
4.901,47.57,45,0.8239,None,143
4.951,46.911,45,0.8239,None,142
5.001,47.387,45,0.8239,None,148
5.051,47.07,45,0.824,None,148
5.101,47.387,45,0.8239,None,144
5.151,47.204,45,0.8239,None,144
5.201,47.082,45,0.824,None,143
5.251,47.448,45,0.824,None,144
5.301,47.399,45,0.824,None,144
5.351,47.35,45,0.824,None,141
5.401,47.082,45,0.824,None,141
5.451,47.143,45,0.824,None,144
5.501,47.118,45,0.824,None,143
5.551,47.375,45,0.824,None,143
5.601,47.375,45,0.8241,None,141
5.651,47.375,45,0.8241,None,141
5.701,47.131,45,0.8241,None,141
5.751,47.521,45,0.8241,None,141
5.801,47.277,45,0.8241,None,143
5.851,47.192,45,0.8241,None,143
5.901,47.021,45,0.8241,None,141
5.951,46.935,45,0.8241,None,141
6.001,47.448,45,0.8241,None,143
6.051,47.192,45,0.8241,None,143
6.101,47.216,45,0.8241,None,143
6.151,47.436,45,0.8239,None,140
6.201,47.216,45,0.8239,None,140
6.251,47.118,45,0.8239,None,139
6.301,46.398,45,0.8239,None,142
6.351,47.131,45,0.8239,None,142
6.401,47.289,45,0.8239,None,146
6.451,47.375,45,0.8239,None,146
6.501,47.192,45,0.8239,None,137
6.551,47.485,45,0.8239,None,139
6.601,47.106,45,0.8239,None,139
6.651,47.131,45,0.8239,None,138
6.701,47.485,45,0.8239,None,138
6.751,47.204,45,0.8239,None,141
6.801,47.436,45,0.824,None,137
6.851,47.045,45,0.824,None,137
6.901,47.546,45,0.824,None,138
6.951,47.375,45,0.8241,None,138
7.001,47.485,45,0.824,None,137
7.051,47.192,45,0.824,None,137
7.101,47.216,45,0.824,None,138
7.151,47.411,45,0.824,None,138
7.202,47.485,45,0.824,None,139
7.251,47.131,45,0.824,None,139
7.301,47.082,45,0.8239,None,136
7.351,47.192,45,0.8239,None,136
7.401,47.057,45,0.8239,None,139
7.451,47.155,45,0.8239,None,138
7.501,47.57,45,0.8239,None,137
7.551,47.094,45,0.8239,None,137
7.601,47.46,45,0.8239,None,138
7.651,47.46,45,0.8239,None,138
7.701,47.448,45,0.8239,None,135
7.751,47.448,45,0.8239,None,135
7.801,47.509,45,0.8239,None,136
7.851,47.106,45,0.8239,None,136
7.901,47.411,45,0.8239,None,138
7.951,47.363,45,0.8239,None,138
8.001,47.46,45,0.824,None,135
8.051,47.436,45,0.824,None,135
8.101,47.582,45,0.824,None,134
8.151,47.082,45,0.824,None,134
