time_s,depth_m,depth_setpoint_m,depth_error_m,self.velocity_mps
0.352,0.8145,0.3963,-0.4182,0.0
0.401,0.8145,0.3963,-0.4182,0.0
0.451,0.8144,0.3963,-0.4181,0.0
0.501,0.8144,0.3963,-0.4181,0.0
0.551,0.8144,0.3963,-0.4181,0.0
0.601,0.8144,0.3963,-0.4181,0.0
0.651,0.8144,0.3963,-0.4181,0.0
0.701,0.8144,0.3963,-0.4181,0.0
0.751,0.8142,0.3963,-0.4179,0.0
0.801,0.8142,0.3963,-0.4179,0.0
0.851,0.8142,0.3963,-0.4179,0.0
0.901,0.8142,0.3963,-0.4179,0.0
0.951,0.8142,0.3963,-0.4179,0.0
1.001,0.8142,0.3963,-0.4179,0.0
1.051,0.8142,0.3963,-0.4179,0.0
1.101,0.8142,0.3963,-0.4179,0.0
1.151,0.8141,0.3963,-0.4178,0.0
1.201,0.8141,0.3963,-0.4178,0.0
1.251,0.8142,0.3963,-0.4179,0.0
1.301,0.8142,0.3963,-0.4179,0.0
1.351,0.8142,0.3963,-0.4179,0.0
1.407,0.8141,0.3963,-0.4178,0.0
1.457,0.8141,0.3963,-0.4178,0.0
1.513,0.8142,0.3963,-0.4179,0.0
1.561,0.8142,0.3963,-0.4179,0.0
1.604,0.8146,0.3963,-0.4183,0.0
1.654,0.8146,0.3963,-0.4183,0.0
1.704,0.8148,0.3963,-0.4185,0.0
1.754,0.8149,0.3963,-0.4186,0.0
1.804,0.8149,0.3963,-0.4186,0.0
1.854,0.8149,0.3963,-0.4186,0.0
1.904,0.8149,0.3963,-0.4186,0.0
1.954,0.8148,0.3963,-0.4185,0.0
2.004,0.8146,0.3963,-0.4183,0.0
2.054,0.8145,0.3963,-0.4182,0.0
2.104,0.8138,0.3963,-0.4175,0.0
2.154,0.8138,0.3963,-0.4175,0.0
2.204,0.8138,0.3963,-0.4175,0.0
2.254,0.8137,0.3963,-0.4174,-0.002
2.304,0.8137,0.3963,-0.4174,-0.002
2.354,0.8137,0.3963,-0.4174,-0.002
2.404,0.8124,0.3963,-0.4161,-0.002
2.454,0.8113,0.3963,-0.415,-0.002
2.504,0.8106,0.3963,-0.4143,-0.002
2.554,0.8092,0.3963,-0.4129,-0.002
2.604,0.807,0.3963,-0.4107,-0.014
2.654,0.8057,0.3963,-0.4094,-0.022
2.704,0.8038,0.3963,-0.4075,-0.026
2.754,0.8018,0.3963,-0.4055,-0.026
2.804,0.7993,0.3963,-0.403,-0.028
2.854,0.7966,0.3963,-0.4003,-0.038
2.904,0.7942,0.3963,-0.3979,-0.04
