time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_mm,actuator_setpoint_mm,motor_cmd
0.348,0.1331,0.3604,0.2273,0.0,14.945,20.0,0
0.397,0.1331,0.3604,0.2273,0.0,14.945,20.0,0
0.447,0.1331,0.3604,0.2273,0.0,14.957,20.0,0
0.497,0.1331,0.3604,0.2273,0.0,14.945,20.0,0
0.547,0.1331,0.3604,0.2273,0.0,14.982,20.0,153
0.597,0.1331,0.3604,0.2273,0.0,15.031,20.0,153
0.647,0.1331,0.3604,0.2273,0.0,14.628,20.0,153
0.697,0.1331,0.3604,0.2273,0.0,14.921,20.0,156
0.747,0.1331,0.3604,0.2273,0.0,14.86,20.0,156
0.797,0.1331,0.3604,0.2273,0.0,15.592,20.0,154
0.847,0.1331,0.3604,0.2273,0.0,16.032,20.0,154
0.897,0.1331,0.3604,0.2273,0.0,16.19,20.0,147
0.947,0.133,0.3604,0.2274,0.0,16.178,20.0,147
0.997,0.133,0.3604,0.2274,0.0,16.276,20.0,150
1.047,0.133,0.3604,0.2274,0.0,15.763,20.0,150
1.097,0.133,0.3604,0.2274,0.0,17.131,20.0,150
1.147,0.133,0.3604,0.2274,0.0,16.313,20.0,150
1.197,0.133,0.3604,0.2274,0.0,16.337,20.0,144
1.247,0.133,0.3604,0.2274,0.0,15.556,39.17572021484375,144
1.297,0.133,0.3604,0.2274,0.0,16.325,49.99908447265625,153
1.347,0.133,0.3604,0.2274,0.0,15.958,49.99908447265625,236
1.397,0.133,0.3604,0.2274,0.0,16.874,49.99908447265625,236
1.447,0.133,0.3604,0.2274,0.0,18.706,49.99908447265625,255
1.497,0.133,0.3604,0.2274,0.0,20.317,49.99908447265625,255
1.547,0.133,0.3604,0.2274,0.0,22.015,49.99908447265625,255
1.597,0.133,0.3604,0.2274,0.0,23.748,49.99908447265625,255
1.647,0.133,0.3604,0.2274,0.0,25.507,49.99908447265625,255
1.697,0.133,0.3604,0.2274,0.0,27.106,49.99908447265625,244
1.747,0.133,0.3604,0.2274,0.0,29.939,49.99908447265625,244
1.797,0.133,0.3604,0.2274,0.0,30.195,49.99908447265625,234
1.847,0.133,0.3604,0.2274,0.0,33.419,49.99908447265625,221
1.897,0.1328,0.3604,0.2276,0.0,33.37,49.99908447265625,221
1.947,0.1328,0.3604,0.2276,0.0,34.054,49.99908447265625,211
1.997,0.1326,0.3604,0.2278,0.0,35.006,49.99908447265625,211
2.047,0.1325,0.3604,0.2279,0.0,36.081,49.99908447265625,220
2.097,0.1322,0.3604,0.2282,0.0,37.033,49.99908447265625,215
2.147,0.1322,0.3604,0.2282,0.0,38.889,49.99908447265625,215
2.197,0.1322,0.3604,0.2282,0.0,39.719,49.99908447265625,206
2.247,0.1322,0.3604,0.2282,0.0,39.389,49.99908447265625,206
2.297,0.1322,0.3604,0.2282,0.0,40.171,49.99908447265625,194
2.347,0.1322,0.3604,0.2282,0.0,41.099,49.99908447265625,207
2.397,0.1322,0.3604,0.2282,0.0,42.418,49.99908447265625,207
2.447,0.1322,0.3604,0.2282,0.0,43.114,49.99908447265625,194
2.497,0.1322,0.3604,0.2282,0.0,43.175,49.99908447265625,194
2.547,0.1329,0.3604,0.2275,0.0,44.298,49.99908447265625,185
2.597,0.1331,0.3604,0.2273,0.0,44.591,49.99908447265625,192
2.647,0.1343,0.3604,0.2261,0.0,44.713,49.99908447265625,192
2.697,0.1346,0.3604,0.2258,0.0,45.531,49.99908447265625,183
2.747,0.1358,0.3604,0.2246,0.004,45.812,49.99908447265625,183
2.797,0.1376,0.3604,0.2228,0.006,46.581,49.99908447265625,181
2.847,0.1385,0.3604,0.2219,0.014,46.667,49.99908447265625,182
2.897,0.1407,0.3604,0.2197,0.018,47.302,49.99908447265625,182
2.947,0.1424,0.3604,0.218,0.024,47.363,49.99908447265625,177
2.997,0.145,0.3604,0.2154,0.024,47.985,49.99908447265625,177
3.047,0.1481,0.3604,0.2123,0.034,47.937,49.99908447265625,175
3.097,0.1512,0.3604,0.2092,0.036,48.62,49.99908447265625,172
3.147,0.1543,0.3604,0.2061,0.044,48.425,49.99908447265625,172
3.197,0.1578,0.3604,0.2026,0.052,48.657,49.99908447265625,171
3.247,0.162,0.3604,0.1984,0.062,48.926,49.99908447265625,171
