time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.355,0.1207,0.5,0.3793,0.0
0.404,0.1207,0.5,0.3793,0.0
0.454,0.1204,0.5,0.3796,0.0
0.504,0.1204,0.5,0.3796,0.0
0.554,0.1203,0.5,0.3797,0.0
0.604,0.1204,0.5,0.3796,0.0
0.654,0.1203,0.5,0.3797,0.0
0.704,0.1203,0.5,0.3797,0.0
0.754,0.1203,0.5,0.3797,0.0
0.804,0.1203,0.5,0.3797,0.0
0.854,0.1203,0.5,0.3797,0.0
0.904,0.1203,0.5,0.3797,0.0
0.954,0.1203,0.5,0.3797,0.0
1.004,0.1203,0.5,0.3797,0.0
1.054,0.1202,0.5,0.3798,0.0
1.104,0.1202,0.5,0.3798,0.0
1.154,0.1202,0.5,0.3798,0.0
1.204,0.1201,0.5,0.3799,0.0
1.254,0.1201,0.5,0.3799,0.0
1.304,0.1201,0.5,0.3799,0.0
1.354,0.1201,0.5,0.3799,0.0
1.404,0.1201,0.5,0.3799,0.0
1.454,0.1201,0.5,0.3799,0.0
1.504,0.1201,0.5,0.3799,0.0
1.554,0.1201,0.5,0.3799,0.0
1.604,0.1201,0.5,0.3799,0.0
1.654,0.1201,0.5,0.3799,0.0
1.704,0.1201,0.5,0.3799,0.0
1.754,0.1201,0.5,0.3799,0.0
1.804,0.1201,0.5,0.3799,0.0
1.854,0.1201,0.5,0.3799,0.0
1.904,0.12,0.5,0.38,0.0
1.954,0.1201,0.5,0.3799,0.0
2.004,0.1201,0.5,0.3799,0.0
2.054,0.1201,0.5,0.3799,0.0
2.104,0.1202,0.5,0.3798,0.0
2.154,0.1202,0.5,0.3798,0.0
2.204,0.1202,0.5,0.3798,0.0
2.254,0.1202,0.5,0.3798,0.0
2.304,0.1201,0.5,0.3799,0.0
2.354,0.12,0.5,0.38,0.0
2.404,0.12,0.5,0.38,0.0
2.454,0.12,0.5,0.38,0.0
2.509,0.12,0.5,0.38,0.0
2.564,0.12,0.5,0.38,0.0
2.619,0.12,0.5,0.38,0.0
2.668,0.12,0.5,0.38,0.0
2.718,0.1199,0.5,0.3801,0.0
2.768,0.1199,0.5,0.3801,0.0
2.818,0.1199,0.5,0.3801,0.0
2.868,0.1199,0.5,0.3801,0.0
2.918,0.1199,0.5,0.3801,0.0
2.968,0.1199,0.5,0.3801,0.0
3.018,0.1199,0.5,0.3801,0.0
3.068,0.1199,0.5,0.3801,0.0
3.118,0.1199,0.5,0.3801,0.0
3.168,0.1199,0.5,0.3801,0.0
3.218,0.1199,0.5,0.3801,0.0
3.268,0.1199,0.5,0.3801,0.0
3.318,0.1199,0.5,0.3801,0.0
3.368,0.1198,0.5,0.3802,0.0
3.418,0.1197,0.5,0.3803,0.0
3.468,0.1197,0.5,0.3803,0.0
3.518,0.1197,0.5,0.3803,0.0
3.568,0.1196,0.5,0.3804,0.0
3.618,0.1195,0.5,0.3805,0.0
3.668,0.1195,0.5,0.3805,0.0
3.718,0.1195,0.5,0.3805,0.0
3.768,0.1195,0.5,0.3805,0.0
3.818,0.1195,0.5,0.3805,0.0
3.868,0.1194,0.5,0.3806,0.0
3.918,0.1194,0.5,0.3806,0.0
3.968,0.1194,0.5,0.3806,0.0
4.018,0.1194,0.5,0.3806,0.0
4.068,0.1193,0.5,0.3807,0.0
4.118,0.1192,0.5,0.3808,0.0
4.168,0.1191,0.5,0.3809,0.0
4.218,0.1191,0.5,0.3809,0.0
4.268,0.1188,0.5,0.3812,-0.002
4.318,0.1187,0.5,0.3813,-0.002
4.368,0.1187,0.5,0.3813,-0.002
4.418,0.1186,0.5,0.3814,-0.002
4.468,0.1184,0.5,0.3816,-0.002
4.518,0.1184,0.5,0.3816,-0.002
4.568,0.1184,0.5,0.3816,-0.002
4.618,0.1183,0.5,0.3817,-0.002
4.668,0.1182,0.5,0.3818,-0.002
4.718,0.1181,0.5,0.3819,-0.002
4.768,0.1181,0.5,0.3819,-0.002
4.818,0.118,0.5,0.382,-0.002
4.868,0.118,0.5,0.382,-0.002
4.918,0.1176,0.5,0.3824,-0.002
4.968,0.1176,0.5,0.3824,-0.002
5.018,0.1175,0.5,0.3825,-0.002
5.068,0.1175,0.5,0.3825,-0.002
5.118,0.1174,0.5,0.3826,-0.002
5.168,0.1171,0.5,0.3829,-0.002
5.218,0.1171,0.5,0.3829,-0.002
5.268,0.1171,0.5,0.3829,0.0
5.318,0.1168,0.5,0.3832,-0.002
5.368,0.1167,0.5,0.3833,-0.002
5.418,0.1167,0.5,0.3833,-0.002
5.468,0.1167,0.5,0.3833,0.0
5.518,0.1166,0.5,0.3834,-0.002
5.568,0.1166,0.5,0.3834,0.0
5.618,0.1165,0.5,0.3835,0.0
5.668,0.1165,0.5,0.3835,0.0
5.718,0.1164,0.5,0.3836,-0.002
5.768,0.1163,0.5,0.3837,-0.002
5.818,0.116,0.5,0.384,-0.002
5.868,0.116,0.5,0.384,-0.002
5.918,0.116,0.5,0.384,-0.002
5.968,0.116,0.5,0.384,0.0
6.018,0.116,0.5,0.384,0.0
6.068,0.1159,0.5,0.3841,0.0
6.118,0.1159,0.5,0.3841,0.0
6.168,0.1159,0.5,0.3841,0.0
6.218,0.1159,0.5,0.3841,0.0
6.268,0.1159,0.5,0.3841,0.0
6.318,0.1159,0.5,0.3841,0.0
6.368,0.1159,0.5,0.3841,0.0
6.418,0.1159,0.5,0.3841,0.0
6.468,0.1159,0.5,0.3841,0.0
6.518,0.116,0.5,0.384,0.0
6.568,0.116,0.5,0.384,0.0
6.618,0.116,0.5,0.384,0.0
6.668,0.1164,0.5,0.3836,0.0
6.718,0.1164,0.5,0.3836,0.0
6.768,0.1165,0.5,0.3835,0.0
6.818,0.1165,0.5,0.3835,0.0
6.868,0.1165,0.5,0.3835,0.0
6.918,0.1168,0.5,0.3832,0.0
6.968,0.1168,0.5,0.3832,0.0
7.018,0.1172,0.5,0.3828,0.0
7.068,0.1174,0.5,0.3826,0.002
7.118,0.1178,0.5,0.3822,0.002
7.168,0.1178,0.5,0.3822,0.002
7.218,0.1181,0.5,0.3819,0.004
7.268,0.1183,0.5,0.3817,0.004
7.318,0.1185,0.5,0.3815,0.004
7.368,0.1186,0.5,0.3814,0.004
7.418,0.1189,0.5,0.3811,0.004
7.468,0.1192,0.5,0.3808,0.004
7.518,0.1193,0.5,0.3807,0.004
7.568,0.1201,0.5,0.3799,0.004
7.618,0.1201,0.5,0.3799,0.004
7.668,0.1205,0.5,0.3795,0.004
7.718,0.121,0.5,0.379,0.006
7.768,0.1213,0.5,0.3787,0.006
7.818,0.1213,0.5,0.3787,0.006
7.868,0.1217,0.5,0.3783,0.006
7.918,0.1227,0.5,0.3773,0.008
7.968,0.1227,0.5,0.3773,0.008
8.018,0.1235,0.5,0.3765,0.008
8.068,0.1235,0.5,0.3765,0.008
8.118,0.1243,0.5,0.3757,0.008
8.168,0.1245,0.5,0.3755,0.006
8.218,0.1252,0.5,0.3748,0.008
8.268,0.1255,0.5,0.3745,0.008
8.318,0.1256,0.5,0.3744,0.006
8.368,0.1262,0.5,0.3738,0.006
8.418,0.1272,0.5,0.3728,0.012
8.468,0.1274,0.5,0.3726,0.006
8.518,0.1284,0.5,0.3716,0.012
8.568,0.129,0.5,0.371,0.012
8.618,0.1292,0.5,0.3708,0.012
8.668,0.1294,0.5,0.3706,0.006
8.718,0.1304,0.5,0.3696,0.012
8.768,0.1308,0.5,0.3692,0.012
8.818,0.1314,0.5,0.3686,0.012
8.868,0.1321,0.5,0.3679,0.012
8.918,0.1327,0.5,0.3673,0.012
8.968,0.1333,0.5,0.3667,0.012
9.018,0.1337,0.5,0.3663,0.012
9.068,0.1341,0.5,0.3659,0.012
9.118,0.135,0.5,0.365,0.012
9.168,0.1357,0.5,0.3643,0.012
9.218,0.1361,0.5,0.3639,0.012
9.268,0.137,0.5,0.363,0.012
9.318,0.1375,0.5,0.3625,0.012
9.368,0.1382,0.5,0.3618,0.012
9.418,0.1393,0.5,0.3607,0.014
9.468,0.1398,0.5,0.3602,0.014
9.518,0.1409,0.5,0.3591,0.014
9.568,0.141,0.5,0.359,0.014
9.618,0.1419,0.5,0.3581,0.014
9.668,0.1426,0.5,0.3574,0.014
9.718,0.1431,0.5,0.3569,0.014
9.768,0.1442,0.5,0.3558,0.014
9.818,0.1442,0.5,0.3558,0.014
9.868,0.1451,0.5,0.3549,0.014
9.918,0.1462,0.5,0.3538,0.018
9.968,0.1463,0.5,0.3537,0.014
10.018,0.147,0.5,0.353,0.014
10.068,0.1479,0.5,0.3521,0.014
10.118,0.1486,0.5,0.3514,0.014
10.168,0.1494,0.5,0.3506,0.016
10.218,0.1506,0.5,0.3494,0.016
10.268,0.1517,0.5,0.3483,0.018
10.318,0.1526,0.5,0.3474,0.018
10.368,0.1532,0.5,0.3468,0.016
10.418,0.1544,0.5,0.3456,0.018
10.468,0.1559,0.5,0.3441,0.018
10.518,0.1569,0.5,0.3431,0.02
10.568,0.1586,0.5,0.3414,0.022
10.618,0.1596,0.5,0.3404,0.022
10.668,0.1621,0.5,0.3379,0.022
10.718,0.1633,0.5,0.3367,0.024
10.768,0.1655,0.5,0.3345,0.024
10.818,0.1677,0.5,0.3323,0.03
10.868,0.1694,0.5,0.3306,0.034
10.918,0.1722,0.5,0.3278,0.034
10.968,0.1749,0.5,0.3251,0.044
11.018,0.1778,0.5,0.3222,0.044
11.068,0.1802,0.5,0.3198,0.048
11.118,0.1832,0.5,0.3168,0.048
11.168,0.1866,0.5,0.3134,0.054
11.218,0.19,0.5,0.31,0.056
11.268,0.1934,0.5,0.3066,0.058
11.318,0.1983,0.5,0.3017,0.06
11.368,0.2013,0.5,0.2987,0.06
11.418,0.2058,0.5,0.2942,0.068
11.468,0.2098,0.5,0.2902,0.068
11.518,0.2144,0.5,0.2856,0.068
11.568,0.2189,0.5,0.2811,0.08
11.618,0.2235,0.5,0.2765,0.09
11.668,0.2279,0.5,0.2721,0.09
11.718,0.2332,0.5,0.2668,0.09
11.768,0.2383,0.5,0.2617,0.09
11.818,0.2429,0.5,0.2571,0.092
11.868,0.2485,0.5,0.2515,0.092
11.918,0.2534,0.5,0.2466,0.092
11.968,0.2587,0.5,0.2413,0.098
12.018,0.2638,0.5,0.2362,0.102
12.068,0.2693,0.5,0.2307,0.102
12.118,0.2749,0.5,0.2251,0.106
12.168,0.28,0.5,0.22,0.102
12.218,0.2855,0.5,0.2145,0.106
12.268,0.2906,0.5,0.2094,0.106
12.318,0.296,0.5,0.204,0.106
12.368,0.301,0.5,0.199,0.106
12.418,0.3063,0.5,0.1937,0.106
12.468,0.3119,0.5,0.1881,0.108
12.518,0.3173,0.5,0.1827,0.108
12.568,0.3229,0.5,0.1771,0.108
12.618,0.3276,0.5,0.1724,0.108
12.668,0.3336,0.5,0.1664,0.108
12.718,0.3388,0.5,0.1612,0.108
12.768,0.3442,0.5,0.1558,0.108
12.818,0.3498,0.5,0.1502,0.108
12.868,0.3558,0.5,0.1442,0.112
12.918,0.3608,0.5,0.1392,0.108
12.968,0.3664,0.5,0.1336,0.112
13.018,0.3722,0.5,0.1278,0.112
13.068,0.3771,0.5,0.1229,0.112
13.118,0.3831,0.5,0.1169,0.112
13.168,0.3892,0.5,0.1108,0.112
13.218,0.3942,0.5,0.1058,0.112
