time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.355,0.1207,0.5,0.3793,0.0,97.82917785644533
0.404,0.1207,0.5,0.3793,0.0,94.6436996459961
0.454,0.1204,0.5,0.3796,0.0,89.0334701538086
0.504,0.1204,0.5,0.3796,0.0,99.78358459472656
0.554,0.1203,0.5,0.3797,0.0,94.50458526611328
0.604,0.1204,0.5,0.3796,0.0,98.61831665039062
0.654,0.1203,0.5,0.3797,0.0,100.0
0.704,0.1203,0.5,0.3797,0.0,90.18274688720705
0.754,0.1203,0.5,0.3797,0.0,100.0
0.804,0.1203,0.5,0.3797,0.0,100.0
0.854,0.1203,0.5,0.3797,0.0,100.0
0.904,0.1203,0.5,0.3797,0.0,95.49747467041016
0.954,0.1203,0.5,0.3797,0.0,100.0
1.004,0.1203,0.5,0.3797,0.0,100.0
1.054,0.1202,0.5,0.3798,0.0,94.1101303100586
1.104,0.1202,0.5,0.3798,0.0,96.85997772216795
1.154,0.1202,0.5,0.3798,0.0,97.81452178955078
1.204,0.1201,0.5,0.3799,0.0,100.0
1.254,0.1201,0.5,0.3799,0.0,99.9913558959961
1.304,0.1201,0.5,0.3799,0.0,99.45549011230467
1.354,0.1201,0.5,0.3799,0.0,97.02411651611328
1.404,0.1201,0.5,0.3799,0.0,93.19261169433594
1.454,0.1201,0.5,0.3799,0.0,100.0
1.504,0.1201,0.5,0.3799,0.0,100.0
1.554,0.1201,0.5,0.3799,0.0,100.0
1.604,0.1201,0.5,0.3799,0.0,98.88001251220705
1.654,0.1201,0.5,0.3799,0.0,94.77556610107422
1.704,0.1201,0.5,0.3799,0.0,97.29972839355467
1.754,0.1201,0.5,0.3799,0.0,92.69270324707033
1.804,0.1201,0.5,0.3799,0.0,97.1080093383789
1.854,0.1201,0.5,0.3799,0.0,100.0
1.904,0.12,0.5,0.38,0.0,100.0
1.954,0.1201,0.5,0.3799,0.0,100.0
2.004,0.1201,0.5,0.3799,0.0,98.53732299804688
2.054,0.1201,0.5,0.3799,0.0,90.21945190429688
2.104,0.1202,0.5,0.3798,0.0,100.0
2.154,0.1202,0.5,0.3798,0.0,98.25700378417967
2.204,0.1202,0.5,0.3798,0.0,92.94827270507812
2.254,0.1202,0.5,0.3798,0.0,100.0
2.304,0.1201,0.5,0.3799,0.0,95.59774780273438
2.354,0.12,0.5,0.38,0.0,100.0
2.404,0.12,0.5,0.38,0.0,100.0
2.454,0.12,0.5,0.38,0.0,86.91715240478516
2.509,0.12,0.5,0.38,0.0,93.78384399414062
2.564,0.12,0.5,0.38,0.0,100.0
2.619,0.12,0.5,0.38,0.0,100.0
2.668,0.12,0.5,0.38,0.0,99.86051177978516
2.718,0.1199,0.5,0.3801,0.0,100.0
2.768,0.1199,0.5,0.3801,0.0,99.04944610595705
2.818,0.1199,0.5,0.3801,0.0,88.6496353149414
2.868,0.1199,0.5,0.3801,0.0,100.0
2.918,0.1199,0.5,0.3801,0.0,100.0
2.968,0.1199,0.5,0.3801,0.0,96.45318603515624
3.018,0.1199,0.5,0.3801,0.0,100.0
3.068,0.1199,0.5,0.3801,0.0,91.9126968383789
3.118,0.1199,0.5,0.3801,0.0,99.88941955566406
3.168,0.1199,0.5,0.3801,0.0,94.3810577392578
3.218,0.1199,0.5,0.3801,0.0,100.0
3.268,0.1199,0.5,0.3801,0.0,91.71012878417967
3.318,0.1199,0.5,0.3801,0.0,94.43731689453124
3.368,0.1198,0.5,0.3802,0.0,100.0
3.418,0.1197,0.5,0.3803,0.0,90.384521484375
3.468,0.1197,0.5,0.3803,0.0,99.2975616455078
3.518,0.1197,0.5,0.3803,0.0,99.90558624267578
3.568,0.1196,0.5,0.3804,0.0,100.0
3.618,0.1195,0.5,0.3805,0.0,86.99606323242188
3.668,0.1195,0.5,0.3805,0.0,97.40501403808594
3.718,0.1195,0.5,0.3805,0.0,100.0
3.768,0.1195,0.5,0.3805,0.0,87.979736328125
3.818,0.1195,0.5,0.3805,0.0,99.7294464111328
3.868,0.1194,0.5,0.3806,0.0,96.49120330810548
3.918,0.1194,0.5,0.3806,0.0,98.94036865234376
3.968,0.1194,0.5,0.3806,0.0,98.98770141601562
4.018,0.1194,0.5,0.3806,0.0,100.0
4.068,0.1193,0.5,0.3807,0.0,100.0
4.118,0.1192,0.5,0.3808,0.0,100.0
4.168,0.1191,0.5,0.3809,0.0,97.36453247070312
4.218,0.1191,0.5,0.3809,0.0,100.0
4.268,0.1188,0.5,0.3812,-0.002,100.0
4.318,0.1187,0.5,0.3813,-0.002,98.39288330078124
4.368,0.1187,0.5,0.3813,-0.002,97.72438049316406
4.418,0.1186,0.5,0.3814,-0.002,97.125244140625
4.468,0.1184,0.5,0.3816,-0.002,100.0
4.518,0.1184,0.5,0.3816,-0.002,100.0
4.568,0.1184,0.5,0.3816,-0.002,92.07353973388672
4.618,0.1183,0.5,0.3817,-0.002,98.7696762084961
4.668,0.1182,0.5,0.3818,-0.002,98.61617279052734
4.718,0.1181,0.5,0.3819,-0.002,93.18453979492188
4.768,0.1181,0.5,0.3819,-0.002,93.6397933959961
4.818,0.118,0.5,0.382,-0.002,97.55419158935548
4.868,0.118,0.5,0.382,-0.002,100.0
4.918,0.1176,0.5,0.3824,-0.002,100.0
4.968,0.1176,0.5,0.3824,-0.002,90.53133392333984
5.018,0.1175,0.5,0.3825,-0.002,100.0
5.068,0.1175,0.5,0.3825,-0.002,91.32089233398438
5.118,0.1174,0.5,0.3826,-0.002,99.80602264404295
5.168,0.1171,0.5,0.3829,-0.002,100.0
5.218,0.1171,0.5,0.3829,-0.002,95.96221160888672
5.268,0.1171,0.5,0.3829,0.0,90.3179702758789
5.318,0.1168,0.5,0.3832,-0.002,100.0
5.368,0.1167,0.5,0.3833,-0.002,100.0
5.418,0.1167,0.5,0.3833,-0.002,90.42716979980467
5.468,0.1167,0.5,0.3833,0.0,92.68802642822266
5.518,0.1166,0.5,0.3834,-0.002,98.2010269165039
5.568,0.1166,0.5,0.3834,0.0,100.0
5.618,0.1165,0.5,0.3835,0.0,100.0
5.668,0.1165,0.5,0.3835,0.0,92.48560333251952
5.718,0.1164,0.5,0.3836,-0.002,98.0561752319336
5.768,0.1163,0.5,0.3837,-0.002,100.0
5.818,0.116,0.5,0.384,-0.002,100.0
5.868,0.116,0.5,0.384,-0.002,100.0
5.918,0.116,0.5,0.384,-0.002,100.0
5.968,0.116,0.5,0.384,0.0,99.9559555053711
6.018,0.116,0.5,0.384,0.0,100.0
6.068,0.1159,0.5,0.3841,0.0,100.0
6.118,0.1159,0.5,0.3841,0.0,97.51358032226562
6.168,0.1159,0.5,0.3841,0.0,98.7748794555664
6.218,0.1159,0.5,0.3841,0.0,100.0
6.268,0.1159,0.5,0.3841,0.0,100.0
6.318,0.1159,0.5,0.3841,0.0,100.0
6.368,0.1159,0.5,0.3841,0.0,94.20808410644533
6.418,0.1159,0.5,0.3841,0.0,96.02316284179688
6.468,0.1159,0.5,0.3841,0.0,94.67723846435548
6.518,0.116,0.5,0.384,0.0,94.43309020996094
6.568,0.116,0.5,0.384,0.0,100.0
6.618,0.116,0.5,0.384,0.0,100.0
6.668,0.1164,0.5,0.3836,0.0,98.1061553955078
6.718,0.1164,0.5,0.3836,0.0,100.0
6.768,0.1165,0.5,0.3835,0.0,98.26221466064452
6.818,0.1165,0.5,0.3835,0.0,96.67569732666016
6.868,0.1165,0.5,0.3835,0.0,100.0
6.918,0.1168,0.5,0.3832,0.0,100.0
6.968,0.1168,0.5,0.3832,0.0,94.29244995117188
7.018,0.1172,0.5,0.3828,0.0,94.72581481933594
