time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.355,0.0841,0.6886,0.6045,0.0,50.0
0.404,0.0841,0.6886,0.6045,0.0,50.0
0.454,0.0838,0.6886,0.6048,0.0,50.0
0.504,0.0838,0.6886,0.6048,0.0,50.0
0.554,0.0834,0.6886,0.6052,0.0,50.0
0.604,0.0834,0.6886,0.6052,0.0,50.0
0.654,0.0832,0.6886,0.6054,0.0,50.0
0.704,0.0834,0.6886,0.6052,0.0,50.0
0.754,0.0834,0.6886,0.6052,0.0,50.0
0.804,0.0835,0.6886,0.6051,0.0,50.0
0.854,0.0835,0.6886,0.6051,0.0,50.0
0.904,0.0838,0.6886,0.6048,0.0,50.0
0.954,0.0838,0.6886,0.6048,0.0,50.0
1.004,0.0838,0.6886,0.6048,0.0,50.0
1.054,0.0838,0.6886,0.6048,0.0,50.0
1.104,0.0838,0.6886,0.6048,0.0,50.0
1.154,0.0838,0.6886,0.6048,0.0,50.0
1.204,0.0838,0.6886,0.6048,0.0,50.0
1.254,0.0838,0.6886,0.6048,0.0,50.0
1.304,0.0838,0.6886,0.6048,0.0,50.0
1.354,0.0839,0.6886,0.6047,0.0,50.0
1.404,0.0839,0.6886,0.6047,0.0,50.0
1.454,0.0839,0.6886,0.6047,0.0,50.0
1.504,0.0839,0.6886,0.6047,0.0,50.0
1.554,0.0839,0.6886,0.6047,0.0,50.0
1.604,0.0839,0.6886,0.6047,0.0,50.0
1.654,0.0838,0.6886,0.6048,0.0,50.0
1.704,0.0837,0.6886,0.6049,0.0,50.0
1.754,0.0837,0.6886,0.6049,0.0,50.0
1.804,0.0836,0.6886,0.605,0.0,50.0
1.854,0.0836,0.6886,0.605,0.0,50.0
1.904,0.0835,0.6886,0.6051,0.0,50.0
1.954,0.0834,0.6886,0.6052,-0.002,61.9598388671875
2.004,0.0834,0.6886,0.6052,-0.002,75.68511962890625
2.054,0.0833,0.6886,0.6053,-0.002,85.88104248046875
2.104,0.0832,0.6886,0.6054,-0.002,96.07696533203124
2.154,0.0832,0.6886,0.6054,-0.002,99.99847412109376
2.204,0.0831,0.6886,0.6055,-0.002,99.99847412109376
2.254,0.0829,0.6886,0.6057,-0.002,99.99847412109376
2.304,0.0828,0.6886,0.6058,-0.002,99.99847412109376
2.354,0.0825,0.6886,0.6061,-0.002,99.99847412109376
2.404,0.0825,0.6886,0.6061,-0.002,99.99847412109376
2.454,0.0824,0.6886,0.6062,-0.002,99.99847412109376
2.504,0.0822,0.6886,0.6064,-0.002,99.99847412109376
2.554,0.0822,0.6886,0.6064,-0.002,99.99847412109376
2.604,0.0819,0.6886,0.6067,-0.002,99.99847412109376
