time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
355,2941,0,0.8254,1093.70,21.87,1,3.49
404,2941,0,0.8248,1093.64,21.93,1,3.49
454,2942,0,0.8254,1093.70,21.96,1,3.49
504,2942,0,0.8254,1093.70,21.99,1,3.49
554,2941,0,0.8250,1093.66,22.00,1,3.49
604,2941,0,0.8258,1093.74,22.01,1,3.49
654,2943,0,0.8250,1093.66,22.02,1,3.49
704,2941,0,0.8247,1093.63,22.03,1,3.49
754,2942,0,0.8250,1093.66,22.03,1,3.49
804,2942,0,0.8251,1093.67,22.04,1,3.49
854,2941,0,0.8250,1093.66,22.04,1,3.49
904,2942,0,0.8258,1093.74,22.04,1,3.49
954,2941,0,0.8251,1093.67,22.04,1,3.49
1004,2939,0,0.8247,1093.63,22.05,1,3.49
1054,2940,0,0.8255,1093.71,22.05,1,3.49
1104,2942,0,0.8247,1093.63,22.05,1,3.49
1154,2941,0,0.8251,1093.67,22.05,1,3.49
1204,2941,0,0.8254,1093.70,22.05,1,3.49
1254,2942,0,0.8250,1093.66,22.05,1,3.49
1304,2941,0,0.8254,1093.70,22.05,1,3.49
1354,2942,0,0.8255,1093.71,22.05,1,3.49
1404,2943,0,0.8246,1093.62,22.05,1,3.49
1454,2942,0,0.8250,1093.66,22.05,1,3.49
1504,2940,0,0.8251,1093.67,22.06,1,3.49
1554,2942,0,0.8252,1093.68,22.06,1,3.49
1604,2942,0,0.8258,1093.74,22.06,1,3.49
1654,2942,0,0.8255,1093.71,22.06,1,3.49
1704,2941,0,0.8254,1093.70,22.06,1,3.49
1754,2941,0,0.8255,1093.71,22.06,1,3.49
1804,2941,0,0.8251,1093.67,22.05,1,3.49
1854,2941,0,0.8250,1093.66,22.06,1,3.49
1904,2940,0,0.8256,1093.72,22.06,1,3.49
1954,2941,0,0.8254,1093.70,22.06,1,3.49
2004,2941,0,0.8255,1093.71,22.06,1,3.49
2054,2941,0,0.8252,1093.68,22.06,1,3.49
2104,2941,0,0.8254,1093.70,22.06,1,3.49
2154,2943,0,0.8251,1093.67,22.06,1,3.49
2204,2941,0,0.8250,1093.66,22.06,1,3.49
2254,2942,0,0.8249,1093.65,22.06,1,3.49
2304,2943,0,0.8251,1093.67,22.06,1,3.49
2354,2941,0,0.8255,1093.71,22.06,1,3.49
2404,2942,0,0.8253,1093.69,22.06,1,3.49
2454,2941,0,0.8248,1093.64,22.06,1,3.49
2504,2941,0,0.8256,1093.72,22.06,1,3.49
2554,2941,0,0.8250,1093.66,22.06,1,3.49
2604,2941,0,0.8254,1093.70,22.06,1,3.49
2654,2941,0,0.8254,1093.70,22.06,1,3.49
2704,2942,0,0.8248,1093.64,22.06,1,3.49
2754,2941,0,0.8252,1093.68,22.06,1,3.49
2804,2942,0,0.8255,1093.71,22.06,1,3.49
2854,2941,0,0.8248,1093.64,22.06,1,3.49
2904,2944,-255,0.8252,1093.68,22.06,1,3.49
2959,2921,-255,0.8252,1093.68,22.05,1,3.49
3014,2877,-255,0.8253,1093.69,22.05,1,3.49
3069,2834,-255,0.8255,1093.71,22.04,1,3.49
3124,2792,-255,0.8251,1093.67,22.04,1,3.49
3173,2747,-255,0.8249,1093.65,22.05,1,3.49
3223,2712,-255,0.8254,1093.70,22.05,1,3.49
3273,2671,-255,0.8254,1093.70,22.05,1,3.49
3323,2634,-255,0.8250,1093.66,22.05,1,3.49
3373,2597,-255,0.8252,1093.68,22.06,1,3.49
3423,2555,-255,0.8248,1093.64,22.06,1,3.49
3473,2519,-255,0.8249,1093.65,22.06,1,3.49
3523,2482,-255,0.8247,1093.63,22.06,1,3.49
3573,2452,-255,0.8246,1093.62,22.06,1,3.49
3623,2417,-255,0.8250,1093.66,22.06,1,3.49
3673,2364,-255,0.8242,1093.58,22.06,1,3.49
3723,2329,-255,0.8247,1093.63,22.06,1,3.49
3773,2294,-255,0.8249,1093.65,22.06,1,3.49
3823,2254,-255,0.8243,1093.59,22.06,1,3.49
3873,2220,-255,0.8244,1093.60,22.06,1,3.49
3923,2186,-255,0.8242,1093.58,22.06,1,3.49
3973,2151,-255,0.8240,1093.56,22.06,1,3.49
4023,2108,-255,0.8239,1093.55,22.06,1,3.49
4073,2072,-255,0.8234,1093.51,22.06,1,3.49
