time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.355,4.933,50.0,0.1164,0.5,0.0
0.404,4.933,50.0,0.1164,0.5,0.0
0.454,4.933,50.0,0.1161,0.5,0.0
0.504,4.908,50.0,0.1162,0.5,0.0
0.554,4.908,50.0,0.1161,0.5,0.0
0.604,4.908,50.0,0.1161,0.5,0.0
0.654,4.957,50.0,0.1161,0.5,0.0
0.704,4.933,50.0,0.1161,0.5,0.0
0.754,4.933,50.0,0.116,0.5,0.0
0.804,4.908,50.0,0.1161,0.5,0.0
0.854,4.957,50.0,0.116,0.5,0.0
0.904,4.933,50.0,0.1161,0.5,0.0
0.954,4.884,50.0,0.116,0.5,0.0
1.004,4.933,50.0,0.1161,0.5,0.0
1.054,4.908,50.0,0.1161,0.5,0.0
1.104,4.933,50.0,0.116,0.5,0.0
1.154,4.933,50.0,0.116,0.5,0.0
1.204,4.933,50.0,0.116,0.5,0.0
1.254,4.933,50.0,0.116,0.5,0.0
1.304,4.908,100.0,0.116,0.5,0.0
1.354,4.933,100.0,0.1161,0.5,0.0
1.404,4.933,100.0,0.1161,0.5,0.0
1.454,4.908,100.0,0.1161,0.5,0.0
1.504,4.933,100.0,0.1161,0.5,0.0
1.554,4.933,100.0,0.1162,0.5,0.0
1.604,4.933,100.0,0.1162,0.5,0.0
1.654,4.933,100.0,0.1162,0.5,0.0
1.704,4.908,100.0,0.1162,0.5,0.0
1.754,4.957,100.0,0.1162,0.5,0.0
1.804,4.933,100.0,0.1162,0.5,0.0
1.854,4.908,100.0,0.1162,0.5,0.0
1.904,4.933,100.0,0.1162,0.5,0.0
1.954,4.933,100.0,0.1162,0.5,0.0
2.004,4.933,100.0,0.1162,0.5,0.0
2.054,4.908,100.0,0.1163,0.5,0.0
2.104,4.933,100.0,0.1162,0.5,0.0
2.154,4.933,100.0,0.1163,0.5,0.0
2.204,4.908,100.0,0.1163,0.5,0.0
2.254,4.908,100.0,0.1163,0.5,0.0
2.304,4.933,99.81285095214844,0.1163,0.5,0.0
2.354,4.908,99.81285095214844,0.1163,0.5,0.0
2.404,4.908,99.81285095214844,0.1163,0.5,0.0
2.454,4.933,99.81285095214844,0.1163,0.5,0.0
2.504,4.908,99.81285095214844,0.1163,0.5,0.0
2.554,4.908,99.81285095214844,0.1163,0.5,0.0
2.604,4.908,99.81285095214844,0.1163,0.5,0.0
2.654,4.908,99.81285095214844,0.1164,0.5,0.0
2.709,4.957,99.81285095214844,0.1164,0.5,12.0
2.764,5.714,99.81285095214844,0.1164,0.5,12.0
2.819,6.862,99.81285095214844,0.1164,0.5,12.0
2.874,7.961,99.81285095214844,0.1164,0.5,12.0
2.923,9.084,99.81285095214844,0.1165,0.5,12.0
2.973,10.085,99.81285095214844,0.1165,0.5,12.0
3.023,11.184,99.81285095214844,0.1165,0.5,12.0
3.073,12.308,99.81285095214844,0.1164,0.5,12.0
3.123,13.407,99.81285095214844,0.1165,0.5,12.0
3.173,14.359,99.81285095214844,0.1164,0.5,12.0
3.223,15.458,99.81285095214844,0.1164,0.5,12.0
3.273,16.508,99.81285095214844,0.1164,0.5,12.0
3.323,17.46,98.31285095214844,0.1164,0.5,12.0
3.373,18.584,98.31285095214844,0.1163,0.5,12.0
3.423,19.463,98.31285095214844,0.1163,0.5,12.0
3.473,20.537,98.31285095214844,0.1161,0.5,12.0
3.523,21.538,98.31285095214844,0.116,0.5,12.0
3.573,22.54,98.31285095214844,0.1159,0.5,12.0
3.623,23.614,98.31285095214844,0.1159,0.5,12.0
3.673,24.469,98.31285095214844,0.1159,0.5,12.0
3.723,25.592,98.31285095214844,0.1159,0.5,12.0
3.773,26.569,98.31285095214844,0.1159,0.5,12.0
3.823,27.619,98.31285095214844,0.1158,0.5,12.0
3.873,28.742,98.31285095214844,0.1158,0.5,12.0
3.923,29.646,98.31285095214844,0.1158,0.5,12.0
3.973,30.672,98.31285095214844,0.1157,0.5,12.0
4.023,31.868,98.31285095214844,0.1157,0.5,12.0
4.073,32.747,98.31285095214844,0.1156,0.5,12.0
4.123,33.871,98.31285095214844,0.1156,0.5,12.0
4.173,34.945,98.31285095214844,0.1155,0.5,12.0
4.223,35.922,98.31285095214844,0.1155,0.5,12.0
4.273,36.972,98.31285095214844,0.1155,0.5,12.0
4.323,38.144,99.12870025634766,0.1155,0.5,12.0
4.373,39.243,99.12870025634766,0.1155,0.5,12.0
4.423,40.171,99.12870025634766,0.1155,0.5,12.0
4.473,41.294,99.12870025634766,0.1155,0.5,12.0
4.523,42.369,99.12870025634766,0.1155,0.5,12.0
4.573,43.394,99.12870025634766,0.1155,0.5,12.0
4.623,44.444,99.12870025634766,0.1155,0.5,12.0
4.673,45.568,99.12870025634766,0.1155,0.5,12.0
4.723,46.642,99.12870025634766,0.1155,0.5,12.0
4.773,47.643,99.12870025634766,0.1155,0.5,12.0
4.823,48.669,99.12870025634766,0.1155,0.5,12.0
4.873,49.695,99.12870025634766,0.1155,0.5,12.0
4.923,50.72,99.12870025634766,0.1156,0.5,12.0
4.973,51.844,99.12870025634766,0.1157,0.5,12.0
