time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.352,0.6882,0.1681,-0.5201,0.0,50.0
0.401,0.6882,0.1681,-0.5201,0.0,50.0
0.451,0.6879,0.1681,-0.5198,0.0,50.0
0.501,0.6879,0.1681,-0.5198,0.0,50.0
0.551,0.6877,0.1681,-0.5196,0.0,50.0
0.601,0.6879,0.1681,-0.5198,0.0,50.0
0.651,0.6878,0.1681,-0.5197,0.0,50.0
0.701,0.6878,0.1681,-0.5197,0.0,50.0
0.751,0.6877,0.1681,-0.5196,0.0,50.0
0.801,0.6877,0.1681,-0.5196,0.0,50.0
0.851,0.6876,0.1681,-0.5195,-0.002,50.0
0.901,0.6877,0.1681,-0.5196,0.0,50.0
0.951,0.6877,0.1681,-0.5196,0.0,50.0
1.001,0.6877,0.1681,-0.5196,0.0,50.0
1.051,0.6877,0.1681,-0.5196,0.0,50.0
1.101,0.6876,0.1681,-0.5195,0.0,50.0
1.151,0.6877,0.1681,-0.5196,0.0,50.0
1.201,0.6876,0.1681,-0.5195,0.0,50.0
1.251,0.6877,0.1681,-0.5196,0.0,50.0
1.301,0.6877,0.1681,-0.5196,0.0,1.432278752326965
1.351,0.6877,0.1681,-0.5196,0.0,1.432278752326965
1.401,0.6877,0.1681,-0.5196,0.0,1.432278752326965
1.451,0.6878,0.1681,-0.5197,0.0,1.432278752326965
1.506,0.6879,0.1681,-0.5198,0.0,1.432278752326965
1.555,0.6879,0.1681,-0.5198,0.0,1.432278752326965
1.605,0.6879,0.1681,-0.5198,0.0,1.432278752326965
1.655,0.6881,0.1681,-0.52,0.0,1.432278752326965
1.705,0.6879,0.1681,-0.5198,0.0,1.432278752326965
1.755,0.6881,0.1681,-0.52,0.0,1.432278752326965
1.805,0.6881,0.1681,-0.52,0.0,1.432278752326965
1.855,0.6881,0.1681,-0.52,0.0,1.432278752326965
1.905,0.6881,0.1681,-0.52,0.0,1.432278752326965
1.955,0.6881,0.1681,-0.52,0.0,1.432278752326965
2.005,0.6881,0.1681,-0.52,0.0,1.432278752326965
2.055,0.6881,0.1681,-0.52,0.0,1.432278752326965
2.105,0.6881,0.1681,-0.52,0.0,1.432278752326965
2.155,0.6881,0.1681,-0.52,0.0,1.432278752326965
2.205,0.6881,0.1681,-0.52,0.0,1.432278752326965
2.255,0.6881,0.1681,-0.52,0.0,1.432278752326965
2.305,0.6882,0.1681,-0.5201,0.0,2.932277202606201
2.355,0.6882,0.1681,-0.5201,0.0,2.932277202606201
2.405,0.6882,0.1681,-0.5201,0.0,2.932277202606201
2.455,0.6882,0.1681,-0.5201,0.0,2.932277202606201
2.505,0.6882,0.1681,-0.5201,0.0,2.932277202606201
2.555,0.6883,0.1681,-0.5202,0.0,2.932277202606201
2.605,0.6886,0.1681,-0.5205,0.0,2.932277202606201
2.655,0.6886,0.1681,-0.5205,0.0,2.932277202606201
2.705,0.6888,0.1681,-0.5207,0.0,2.932277202606201
2.755,0.689,0.1681,-0.5209,0.0,2.932277202606201
2.805,0.6891,0.1681,-0.521,0.002,2.932277202606201
2.855,0.6894,0.1681,-0.5213,0.002,2.932277202606201
2.905,0.6895,0.1681,-0.5214,0.002,2.932277202606201
2.955,0.69,0.1681,-0.5219,0.004,2.932277202606201
3.005,0.6903,0.1681,-0.5222,0.004,2.932277202606201
3.055,0.6903,0.1681,-0.5222,0.004,2.932277202606201
3.105,0.6903,0.1681,-0.5222,0.004,2.932277202606201
3.155,0.6903,0.1681,-0.5222,0.002,2.932277202606201
3.205,0.6903,0.1681,-0.5222,0.002,2.932277202606201
3.255,0.6903,0.1681,-0.5222,0.0,2.932277202606201
3.305,0.6903,0.1681,-0.5222,0.0,4.432275772094727
3.355,0.69,0.1681,-0.5219,0.0,4.432275772094727
3.405,0.69,0.1681,-0.5219,0.0,4.432275772094727
3.455,0.6896,0.1681,-0.5215,0.0,4.432275772094727
3.505,0.6887,0.1681,-0.5206,0.0,4.432275772094727
3.555,0.6886,0.1681,-0.5205,0.0,4.432275772094727
3.605,0.6873,0.1681,-0.5192,-0.002,4.432275772094727
3.655,0.6861,0.1681,-0.518,-0.006,4.432275772094727
3.705,0.6847,0.1681,-0.5166,-0.008,4.432275772094727
3.755,0.684,0.1681,-0.5159,-0.014,4.432275772094727
3.805,0.6819,0.1681,-0.5138,-0.018,4.432275772094727
3.855,0.6792,0.1681,-0.5111,-0.024,4.432275772094727
3.905,0.6777,0.1681,-0.5096,-0.026,4.432275772094727
3.955,0.6745,0.1681,-0.5064,-0.028,4.432275772094727
4.005,0.6721,0.1681,-0.504,-0.03,4.432275772094727
4.055,0.6687,0.1681,-0.5006,-0.042,4.432275772094727
4.105,0.6659,0.1681,-0.4978,-0.048,4.432275772094727
4.155,0.6617,0.1681,-0.4936,-0.054,4.432275772094727
4.205,0.6575,0.1681,-0.4894,-0.056,4.432275772094727
4.255,0.6535,0.1681,-0.4854,-0.064,4.432275772094727
4.305,0.6479,0.1681,-0.4798,-0.068,5.932274341583252
4.355,0.6432,0.1681,-0.4751,-0.08,5.932274341583252
4.405,0.6379,0.1681,-0.4698,-0.084,5.932274341583252
4.455,0.632,0.1681,-0.4639,-0.084,5.932274341583252
4.505,0.6267,0.1681,-0.4586,-0.094,5.932274341583252
