time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
352,3929,0,0.7337,1084.95,22.48,1,12.15
401,3930,0,0.7332,1084.90,22.54,1,12.15
451,3929,0,0.7329,1084.87,22.58,1,12.15
501,3929,0,0.7336,1084.94,22.60,1,12.15
551,3929,0,0.7338,1084.96,22.62,1,12.15
601,3930,0,0.7332,1084.90,22.63,1,12.15
651,3928,0,0.7339,1084.97,22.64,1,12.15
701,3930,0,0.7336,1084.94,22.64,1,12.15
751,3929,0,0.7328,1084.86,22.65,1,12.15
801,3928,0,0.7333,1084.91,22.65,1,12.15
851,3929,0,0.7338,1084.96,22.66,1,12.15
901,3929,0,0.7330,1084.88,22.66,1,12.15
951,3929,0,0.7332,1084.90,22.66,1,12.15
1001,3930,0,0.7345,1085.03,22.66,1,12.15
1051,3929,0,0.7331,1084.89,22.66,1,12.15
1101,3930,0,0.7328,1084.86,22.67,1,12.15
1151,3929,0,0.7338,1084.96,22.66,1,12.15
1201,3928,0,0.7332,1084.90,22.66,1,12.15
1251,3930,0,0.7330,1084.88,22.66,1,12.15
1301,3930,0,0.7335,1084.93,22.66,1,12.15
1351,3930,0,0.7335,1084.93,22.66,1,12.15
1406,3929,-255,0.7336,1084.94,22.66,1,12.10
1456,3904,-255,0.7334,1084.92,22.67,1,12.14
1506,3839,-223,0.7334,1084.92,22.67,1,12.15
1556,3781,-223,0.7330,1084.88,22.66,1,12.15
1606,3725,-205,0.7336,1084.94,22.67,1,12.15
1656,3710,-205,0.7334,1084.92,22.67,1,12.15
1706,3691,-183,0.7333,1084.91,22.67,1,12.15
1756,3643,-183,0.7332,1084.90,22.67,1,12.15
1806,3625,-176,0.7331,1084.89,22.67,1,12.14
1856,3592,-176,0.7330,1084.88,22.68,1,12.15
1906,3575,-164,0.7323,1084.81,22.67,1,12.15
1956,3561,-164,0.7329,1084.87,22.67,1,12.15
2006,3573,-154,0.7322,1084.80,22.67,1,12.15
2056,3557,-154,0.7325,1084.83,22.67,1,12.15
2106,3557,-153,0.7321,1084.79,22.67,1,12.15
2156,3547,0,0.7308,1084.67,22.67,1,12.15
2206,3548,0,0.7314,1084.73,22.67,1,12.15
2256,3554,152,0.7300,1084.59,22.67,1,12.15
2306,3551,152,0.7302,1084.61,22.67,1,12.15
2356,3559,0,0.7309,1084.68,22.67,1,12.15
2406,3563,0,0.7294,1084.53,22.67,1,12.15
2456,3568,-163,0.7293,1084.52,22.67,1,12.15
2506,3564,-163,0.7291,1084.50,22.67,1,12.15
