time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,20.879,50.0,0.0008,0.2797,0.0
0.401,20.879,50.0,0.0008,0.2797,0.0
0.451,20.904,50.0,0.0003,0.2797,0.0
0.501,20.904,50.0,0.0004,0.2797,0.0
0.551,20.855,50.0,0.0003,0.2797,0.0
0.601,20.904,50.0,0.0003,0.2797,0.0
0.651,20.904,50.0,0.0003,0.2797,0.0
0.701,20.904,50.0,0.0003,0.2797,0.0
0.751,20.904,50.0,0.0003,0.2797,0.0
0.801,20.904,50.0,0.0003,0.2797,0.0
0.851,20.904,50.0,0.0003,0.2797,0.0
0.901,20.904,50.0,0.0003,0.2797,0.0
0.951,20.83,50.0,0.0003,0.2797,0.0
1.001,20.904,50.0,0.0003,0.2797,0.0
1.051,20.904,50.0,0.0003,0.2797,0.0
1.101,20.879,50.0,0.0003,0.2797,0.0
1.151,20.879,50.0,0.0003,0.2797,0.0
1.201,20.879,50.0,0.0003,0.2797,0.0
1.251,20.904,50.0,0.0003,0.2797,0.0
1.306,20.879,94.82707214355469,0.0003,0.2797,12.0
1.355,21.392,94.82707214355469,0.0003,0.2797,12.0
1.405,22.442,94.82707214355469,0.0003,0.2797,12.0
1.455,23.394,94.82707214355469,0.0003,0.2797,12.0
1.505,24.444,94.82707214355469,0.0003,0.2797,12.0
1.555,25.372,94.82707214355469,0.0003,0.2797,12.0
1.605,26.447,94.82707214355469,0.0003,0.2797,12.0
1.655,27.546,94.82707214355469,0.0003,0.2797,12.0
1.705,28.596,94.82707214355469,0.0003,0.2797,12.0
1.755,29.548,94.82707214355469,0.0003,0.2797,12.0
1.805,30.647,94.82707214355469,0.0002,0.2797,12.0
1.855,31.6,94.82707214355469,0.0002,0.2797,12.0
1.905,32.674,94.82707214355469,0.0001,0.2797,12.0
1.955,33.651,94.82707214355469,0.0001,0.2797,12.0
2.005,34.75,94.82707214355469,0.0,0.2797,12.0
2.055,35.653,94.82707214355469,-0.0002,0.2797,12.0
2.105,36.874,94.82707214355469,-0.0002,0.2797,12.0
2.155,37.949,94.82707214355469,-0.0003,0.2797,12.0
2.205,39.023,94.82707214355469,-0.0005,0.2797,12.0
2.255,40.073,94.82707214355469,-0.0005,0.2797,12.0
2.305,41.221,93.32707214355469,-0.0006,0.2797,12.0
2.355,42.271,93.32707214355469,-0.0007,0.2797,12.0
2.405,43.297,93.32707214355469,-0.001,0.2797,12.0
2.455,44.396,93.32707214355469,-0.0011,0.2797,12.0
2.505,45.519,93.32707214355469,-0.0011,0.2797,12.0
2.555,46.422,93.32707214355469,-0.0012,0.2797,12.0
2.605,47.521,93.32707214355469,-0.0012,0.2797,12.0
2.655,48.498,93.32707214355469,-0.0013,0.2797,12.0
2.705,49.475,93.32707214355469,-0.0013,0.2797,12.0
2.755,50.647,93.32707214355469,-0.0014,0.2797,12.0
2.805,51.575,93.32707214355469,-0.0015,0.2797,12.0
2.855,52.576,93.32707214355469,-0.0015,0.2797,12.0
2.905,53.48,93.32707214355469,-0.0015,0.2797,12.0
2.955,54.53,93.32707214355469,-0.0016,0.2797,12.0
3.005,55.482,93.32707214355469,-0.0017,0.2797,12.0
3.055,57.192,93.32707214355469,-0.0017,0.2797,12.0
3.105,57.582,93.32707214355469,-0.0017,0.2797,12.0
3.155,58.51,93.32707214355469,-0.0018,0.2797,12.0
3.205,59.609,93.32707214355469,-0.0018,0.2797,12.0
3.255,60.513,93.32707214355469,-0.0023,0.2797,12.0
3.305,61.636,91.82707977294922,-0.0023,0.2797,12.0
3.355,62.564,91.82707977294922,-0.0024,0.2797,12.0
3.405,63.59,91.82707977294922,-0.0025,0.2797,12.0
3.455,64.713,91.82707977294922,-0.0028,0.2797,12.0
3.505,65.836,91.82707977294922,-0.003,0.2797,12.0
3.555,66.789,91.82707977294922,-0.0039,0.2797,12.0
3.605,67.863,91.82707977294922,-0.0044,0.2797,12.0
3.655,68.913,91.82707977294922,-0.0045,0.2797,12.0
3.705,69.817,91.82707977294922,-0.0045,0.2797,12.0
3.755,70.94,91.82707977294922,-0.0045,0.2797,12.0
3.805,71.917,91.82707977294922,-0.0045,0.2797,12.0
3.855,72.918,91.82707977294922,-0.0045,0.2797,12.0
3.905,73.871,91.82707977294922,-0.0045,0.2797,12.0
3.955,74.896,91.82707977294922,-0.0045,0.2797,12.0
4.005,76.02,91.82707977294922,-0.0045,0.2797,12.0
4.055,76.947,91.82707977294922,-0.0045,0.2797,12.0
4.105,78.022,91.82707977294922,-0.0044,0.2797,12.0
4.155,79.048,91.82707977294922,-0.0038,0.2797,12.0
4.205,80.049,91.82707977294922,-0.0035,0.2797,12.0
4.255,81.319,91.82707977294922,-0.0028,0.2797,11.858823529411765
4.305,82.271,90.32707977294922,-0.002,0.2797,11.48235294117647
4.355,83.346,90.32707977294922,-0.0008,0.2797,11.48235294117647
4.405,84.127,90.32707977294922,0.0008,0.2797,10.070588235294117
4.455,85.324,90.32707977294922,0.0018,0.2797,10.070588235294117
4.505,85.958,90.32707977294922,0.0033,0.2797,9.411764705882353
4.555,86.374,90.32707977294922,0.0044,0.2797,9.411764705882353
4.605,87.009,90.32707977294922,0.0058,0.2797,8.705882352941176
4.655,87.57,90.32707977294922,0.0083,0.2797,8.705882352941176
4.705,88.083,90.32707977294922,0.0104,0.2797,8.329411764705883
4.755,88.352,90.32707977294922,0.0135,0.2797,8.329411764705883
4.805,88.596,90.32707977294922,0.0162,0.2797,7.905882352941177
4.855,89.06,90.32707977294922,0.0195,0.2797,7.905882352941177
4.905,89.231,90.32707977294922,0.023,0.2797,7.7176470588235295
4.955,89.377,90.32707977294922,0.027,0.2797,7.7176470588235295
5.005,89.67,90.32707977294922,0.0317,0.2797,7.482352941176471
5.055,89.475,90.32707977294922,0.0363,0.2797,7.435294117647059
5.105,90.061,90.32707977294922,0.0418,0.2797,7.435294117647059
5.155,89.939,90.32707977294922,0.0473,0.2797,7.3882352941176475
5.205,90.208,90.32707977294922,0.0533,0.2797,7.3882352941176475
5.255,90.476,90.32707977294922,0.0597,0.2797,7.2
5.305,90.501,88.82707977294922,0.0666,0.2797,7.105882352941176
5.355,90.476,88.82707977294922,0.074,0.2797,7.105882352941176
5.405,90.72,88.82707977294922,0.0815,0.2797,-7.670588235294118
5.455,90.745,88.82707977294922,0.0894,0.2797,-7.670588235294118
5.505,90.72,88.82707977294922,0.0982,0.2797,-7.764705882352941
5.555,89.646,88.82707977294922,0.1065,0.2797,-7.764705882352941
5.605,89.109,88.82707977294922,0.1143,0.2797,-7.764705882352941
5.655,88.889,88.82707977294922,0.1231,0.2797,-7.3882352941176475
5.705,88.547,88.82707977294922,0.1313,0.2797,-7.3882352941176475
5.755,87.668,88.82707977294922,0.1399,0.2797,0.0
5.805,87.668,88.82707977294922,0.1494,0.2797,7.152941176470589
5.855,87.473,88.82707977294922,0.1588,0.2797,7.152941176470589
