time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.352,0.1118,0.5036,0.3918,0.0
0.401,0.1118,0.5036,0.3918,0.0
0.451,0.1116,0.5036,0.392,0.0
0.501,0.1116,0.5036,0.392,0.0
0.551,0.1116,0.5036,0.392,0.0
0.601,0.1116,0.5036,0.392,0.0
0.651,0.1116,0.5036,0.392,0.0
0.701,0.1116,0.5036,0.392,0.0
0.751,0.1116,0.5036,0.392,0.0
0.801,0.1116,0.5036,0.392,0.0
0.851,0.1116,0.5036,0.392,0.0
0.901,0.1116,0.5036,0.392,0.0
0.951,0.1116,0.5036,0.392,0.0
1.001,0.1116,0.5036,0.392,0.0
1.051,0.1116,0.5036,0.392,0.0
1.101,0.1116,0.5036,0.392,0.0
1.151,0.1115,0.5036,0.3921,0.0
1.201,0.1114,0.5036,0.3922,0.0
1.251,0.1114,0.5036,0.3922,0.0
1.301,0.1114,0.5036,0.3922,0.0
1.351,0.1114,0.5036,0.3922,0.0
1.401,0.1114,0.5036,0.3922,0.0
1.451,0.1114,0.5036,0.3922,0.0
1.501,0.1114,0.5036,0.3922,0.0
1.551,0.1114,0.5036,0.3922,0.0
1.606,0.1114,0.5036,0.3922,0.0
1.655,0.1114,0.5036,0.3922,0.0
1.705,0.1114,0.5036,0.3922,0.0
1.755,0.1114,0.5036,0.3922,0.0
1.805,0.1114,0.5036,0.3922,0.0
1.855,0.1114,0.5036,0.3922,0.0
1.905,0.1114,0.5036,0.3922,0.0
1.955,0.1114,0.5036,0.3922,0.0
2.005,0.1114,0.5036,0.3922,0.0
2.055,0.1114,0.5036,0.3922,0.0
2.105,0.1114,0.5036,0.3922,0.0
2.155,0.1114,0.5036,0.3922,0.0
2.205,0.1114,0.5036,0.3922,0.0
2.255,0.1111,0.5036,0.3925,0.0
2.305,0.1111,0.5036,0.3925,0.0
2.355,0.1109,0.5036,0.3927,0.0
2.405,0.1109,0.5036,0.3927,0.0
2.455,0.1107,0.5036,0.3929,0.0
2.505,0.1106,0.5036,0.393,0.0
2.555,0.1105,0.5036,0.3931,-0.002
2.605,0.1105,0.5036,0.3931,-0.002
2.655,0.1104,0.5036,0.3932,-0.002
2.705,0.1104,0.5036,0.3932,-0.002
2.755,0.1103,0.5036,0.3933,-0.002
2.805,0.1102,0.5036,0.3934,-0.002
2.855,0.1102,0.5036,0.3934,-0.002
2.905,0.1101,0.5036,0.3935,-0.002
2.955,0.1101,0.5036,0.3935,-0.002
3.005,0.11,0.5036,0.3936,-0.002
3.055,0.1098,0.5036,0.3938,-0.002
3.105,0.1097,0.5036,0.3939,-0.002
3.155,0.1095,0.5036,0.3941,-0.002
3.205,0.1094,0.5036,0.3942,-0.002
3.255,0.1094,0.5036,0.3942,-0.002
3.305,0.1094,0.5036,0.3942,-0.002
3.355,0.1093,0.5036,0.3943,-0.002
3.405,0.1093,0.5036,0.3943,-0.002
3.455,0.1093,0.5036,0.3943,-0.002
3.505,0.1093,0.5036,0.3943,0.0
3.555,0.1093,0.5036,0.3943,0.0
3.605,0.1093,0.5036,0.3943,0.0
3.655,0.1093,0.5036,0.3943,0.0
3.705,0.1093,0.5036,0.3943,0.0
3.755,0.1094,0.5036,0.3942,0.0
3.805,0.1094,0.5036,0.3942,0.0
3.855,0.1094,0.5036,0.3942,0.0
3.905,0.1094,0.5036,0.3942,0.0
3.955,0.1094,0.5036,0.3942,0.0
4.005,0.1094,0.5036,0.3942,0.0
4.055,0.1095,0.5036,0.3941,0.0
4.105,0.1095,0.5036,0.3941,0.0
4.155,0.1095,0.5036,0.3941,0.0
4.205,0.1095,0.5036,0.3941,0.0
4.255,0.1095,0.5036,0.3941,0.0
4.305,0.1096,0.5036,0.394,0.0
4.355,0.1096,0.5036,0.394,0.0
4.405,0.1096,0.5036,0.394,0.0
4.455,0.1096,0.5036,0.394,0.0
4.505,0.1096,0.5036,0.394,0.0
4.555,0.1095,0.5036,0.3941,0.0
4.605,0.1095,0.5036,0.3941,0.0
4.655,0.1095,0.5036,0.3941,0.0
4.705,0.1095,0.5036,0.3941,0.0
4.755,0.1094,0.5036,0.3942,0.0
4.805,0.1094,0.5036,0.3942,0.0
4.855,0.1094,0.5036,0.3942,0.0
4.905,0.1093,0.5036,0.3943,0.0
4.955,0.1093,0.5036,0.3943,0.0
5.005,0.1093,0.5036,0.3943,0.0
5.055,0.1093,0.5036,0.3943,0.0
5.105,0.1093,0.5036,0.3943,0.0
5.155,0.1093,0.5036,0.3943,0.0
5.205,0.1093,0.5036,0.3943,0.0
5.255,0.1093,0.5036,0.3943,0.0
5.305,0.1093,0.5036,0.3943,0.0
5.355,0.1093,0.5036,0.3943,0.0
5.405,0.1093,0.5036,0.3943,0.0
5.455,0.1093,0.5036,0.3943,0.0
5.505,0.1093,0.5036,0.3943,0.0
5.555,0.1093,0.5036,0.3943,0.0
5.605,0.1093,0.5036,0.3943,0.0
5.655,0.1093,0.5036,0.3943,0.0
5.705,0.1095,0.5036,0.3941,0.0
