time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,56.117,50.0,0.8333,0.3325,0.0
0.401,56.117,50.0,0.8334,0.3325,0.0
0.451,56.117,50.0,0.8333,0.3325,0.0
0.501,56.117,50.0,0.8333,0.3325,0.0
0.551,56.117,50.0,0.8331,0.3325,0.0
0.601,56.117,50.0,0.8331,0.3325,0.0
0.651,56.117,50.0,0.8331,0.3325,0.0
0.701,56.117,50.0,0.8331,0.3325,0.0
0.751,56.117,50.0,0.8331,0.3325,0.0
0.801,56.117,50.0,0.8331,0.3325,0.0
0.851,56.142,50.0,0.8331,0.3325,0.0
0.901,56.117,50.0,0.8331,0.3325,0.0
0.951,56.142,50.0,0.8331,0.3325,0.0
1.001,56.117,50.0,0.8331,0.3325,0.0
1.051,56.117,50.0,0.833,0.3325,0.0
1.101,56.117,50.0,0.833,0.3325,0.0
1.151,56.117,50.0,0.833,0.3325,0.0
1.201,56.117,50.0,0.833,0.3325,0.0
1.251,56.117,50.0,0.833,0.3325,0.0
1.301,56.117,85.23880004882812,0.833,0.3325,0.0
1.351,56.068,85.23880004882812,0.833,0.3325,-9.364705882352942
1.406,55.214,85.23880004882812,0.8329,0.3325,-9.364705882352942
1.455,55.287,85.23880004882812,0.833,0.3325,12.0
1.505,55.653,85.23880004882812,0.833,0.3325,12.0
1.555,56.581,85.23880004882812,0.833,0.3325,12.0
1.605,57.656,85.23880004882812,0.833,0.3325,12.0
1.655,58.559,85.23880004882812,0.833,0.3325,12.0
1.705,59.634,85.23880004882812,0.833,0.3325,12.0
1.755,60.562,85.23880004882812,0.833,0.3325,12.0
1.805,61.612,85.23880004882812,0.833,0.3325,12.0
1.855,62.564,85.23880004882812,0.833,0.3325,12.0
1.905,63.663,85.23880004882812,0.833,0.3325,12.0
1.955,64.737,85.23880004882812,0.833,0.3325,12.0
2.005,65.861,85.23880004882812,0.833,0.3325,12.0
2.055,66.862,85.23880004882812,0.833,0.3325,12.0
2.105,67.888,85.23880004882812,0.8331,0.3325,12.0
2.155,68.889,85.23880004882812,0.8331,0.3325,12.0
2.205,69.915,85.23880004882812,0.8331,0.3325,12.0
2.255,70.989,85.23880004882812,0.8331,0.3325,12.0
2.305,72.039,86.73880004882812,0.8332,0.3325,12.0
2.355,72.991,86.73880004882812,0.8333,0.3325,12.0
2.405,74.017,86.73880004882812,0.8334,0.3325,12.0
2.455,74.969,86.73880004882812,0.8335,0.3325,12.0
2.505,76.068,86.73880004882812,0.8335,0.3325,11.858823529411765
2.555,77.192,86.73880004882812,0.8335,0.3325,11.858823529411765
2.605,77.949,86.73880004882812,0.8335,0.3325,11.058823529411764
2.655,79.121,86.73880004882812,0.8336,0.3325,10.635294117647058
2.705,80.049,86.73880004882812,0.8339,0.3325,10.635294117647058
2.755,80.635,86.73880004882812,0.834,0.3325,9.929411764705883
2.805,81.685,86.73880004882812,0.8341,0.3325,9.929411764705883
2.855,82.442,86.73880004882812,0.8341,0.3325,9.364705882352942
2.905,83.199,86.73880004882812,0.8342,0.3325,8.941176470588236
2.955,83.834,86.73880004882812,0.8342,0.3325,8.941176470588236
3.005,84.225,86.73880004882812,0.8342,0.3325,8.376470588235295
3.055,85.031,86.73880004882812,0.8345,0.3325,8.376470588235295
3.105,85.201,86.73880004882812,0.8347,0.3325,8.0
3.155,85.69,86.73880004882812,0.8348,0.3325,7.7176470588235295
3.205,85.958,86.73880004882812,0.8349,0.3325,7.7176470588235295
3.255,86.569,86.73880004882812,0.835,0.3325,7.435294117647059
3.305,86.422,88.23880004882812,0.8351,0.3325,7.435294117647059
3.355,86.838,88.23880004882812,0.8357,0.3325,7.105882352941176
3.405,87.009,88.23880004882812,0.8358,0.3325,7.764705882352941
3.455,87.521,88.23880004882812,0.8359,0.3325,7.764705882352941
3.505,87.643,88.23880004882812,0.836,0.3325,7.529411764705882
3.555,88.01,88.23880004882812,0.8361,0.3325,7.529411764705882
3.605,88.376,88.23880004882812,0.8364,0.3325,7.294117647058823
3.655,88.303,88.23880004882812,0.8369,0.3325,7.152941176470589
3.705,88.816,88.23880004882812,0.837,0.3325,7.152941176470589
3.755,88.938,88.23880004882812,0.8372,0.3325,-7.105882352941176
3.805,89.133,88.23880004882812,0.8375,0.3325,-7.105882352941176
3.855,88.84,88.23880004882812,0.8376,0.3325,-7.341176470588235
3.905,88.962,88.23880004882812,0.8377,0.3325,-7.3882352941176475
3.955,88.596,88.23880004882812,0.8378,0.3325,-7.3882352941176475
4.005,87.912,88.23880004882812,0.8379,0.3325,-7.341176470588235
4.055,87.155,88.23880004882812,0.838,0.3325,-7.341176470588235
4.105,87.277,88.23880004882812,0.8381,0.3325,7.2
4.155,87.448,88.23880004882812,0.8382,0.3325,7.482352941176471
4.205,87.668,88.23880004882812,0.8382,0.3325,7.482352941176471
4.255,87.961,88.23880004882812,0.8383,0.3325,7.341176470588235
4.305,88.132,86.73880004882812,0.8383,0.3325,7.341176470588235
4.355,88.449,86.73880004882812,0.8383,0.3325,7.152941176470589
4.405,88.962,86.73880004882812,0.8382,0.3325,-7.576470588235294
4.455,88.864,86.73880004882812,0.8382,0.3325,-7.576470588235294
4.505,89.255,86.73880004882812,0.8382,0.3325,-7.905882352941177
4.555,88.205,86.73880004882812,0.8381,0.3325,-7.905882352941177
4.605,87.668,86.73880004882812,0.8381,0.3325,-8.0
4.655,87.79,86.73880004882812,0.838,0.3325,-7.623529411764705
4.705,87.497,86.73880004882812,0.838,0.3325,-7.623529411764705
