time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
352,1663,0,0.1058,1023.38,22.77,1,11.45
401,1661,0,0.1053,1023.33,22.83,1,11.45
451,1662,0,0.1055,1023.35,22.87,1,11.45
501,1662,0,0.1050,1023.30,22.90,1,11.45
551,1662,0,0.1055,1023.35,22.91,1,11.45
601,1663,0,0.1055,1023.35,22.92,1,11.45
651,1662,0,0.1053,1023.33,22.93,1,11.45
701,1661,0,0.1045,1023.25,22.93,1,11.45
751,1662,0,0.1048,1023.28,22.94,1,11.45
801,1661,0,0.1053,1023.33,22.94,1,11.45
851,1661,0,0.1051,1023.31,22.95,1,11.45
901,1661,0,0.1049,1023.29,22.95,1,11.45
951,1663,0,0.1048,1023.28,22.95,1,11.45
1001,1663,0,0.1048,1023.28,22.96,1,11.45
1051,1662,0,0.1049,1023.29,22.95,1,11.45
1101,1661,0,0.1048,1023.28,22.96,1,11.45
1151,1662,0,0.1050,1023.30,22.96,1,11.45
1201,1661,0,0.1053,1023.33,22.96,1,11.45
1251,1661,0,0.1049,1023.29,22.96,1,11.45
1301,1662,0,0.1049,1023.29,22.96,1,11.45
1351,1668,225,0.1047,1023.27,22.96,1,11.41
1401,1677,225,0.1047,1023.27,22.96,1,11.44
1451,1706,-255,0.1047,1023.27,22.96,1,11.41
1501,1691,-255,0.1047,1023.27,22.96,1,11.44
1551,1655,-255,0.1051,1023.31,22.96,1,11.44
1601,1610,-255,0.1050,1023.30,22.96,1,11.44
1651,1567,-255,0.1053,1023.33,22.96,1,11.44
1701,1527,-255,0.1052,1023.32,22.96,1,11.44
1751,1483,-255,0.1050,1023.30,22.96,1,11.45
1801,1442,-255,0.1051,1023.31,22.96,1,11.44
1851,1437,-255,0.1057,1023.37,22.97,1,11.44
1901,1358,-255,0.1058,1023.38,22.97,1,11.45
1951,1321,-255,0.1062,1023.41,22.96,1,11.44
2001,1325,-255,0.1061,1023.40,22.97,1,11.44
2051,1243,-255,0.1064,1023.43,22.96,1,11.45
2101,1201,-255,0.1066,1023.45,22.97,1,11.44
2151,1113,-255,0.1064,1023.43,22.96,1,11.45
2201,1122,-248,0.1070,1023.49,22.96,1,11.44
2251,1084,-248,0.1070,1023.49,22.96,1,11.45
2301,1037,-233,0.1071,1023.50,22.96,1,11.45
2351,1071,-233,0.1069,1023.48,22.97,1,11.45
2401,968,-204,0.1073,1023.52,22.97,1,11.45
2451,954,-211,0.1069,1023.48,22.96,1,11.44
2501,921,-211,0.1073,1023.52,22.96,1,11.45
2551,903,-188,0.1064,1023.43,22.96,1,11.45
2601,881,-188,0.1061,1023.40,22.96,1,11.45
2651,865,-178,0.1058,1023.38,22.97,1,11.44
2701,848,-174,0.1053,1023.33,22.97,1,11.45
2751,840,-174,0.1047,1023.27,22.97,1,11.44
2801,827,-167,0.1040,1023.20,22.97,1,11.45
2851,816,-167,0.1038,1023.18,22.97,1,11.45
2901,805,-163,0.1038,1023.18,22.97,1,11.45
2951,805,-161,0.1037,1023.17,22.97,1,11.45
3001,786,-161,0.1034,1023.14,22.97,1,11.44
3051,781,-159,0.1030,1023.10,22.97,1,11.44
3101,776,-159,0.1029,1023.09,22.97,1,11.45
3151,767,-154,0.1027,1023.07,22.97,1,11.44
3201,750,-153,0.1024,1023.04,22.97,1,11.44
3251,757,-153,0.1025,1023.05,22.97,1,11.45
3301,753,152,0.1024,1023.04,22.97,1,11.45
3351,753,152,0.1028,1023.08,22.97,1,11.44
3401,759,163,0.1025,1023.05,22.97,1,11.45
3451,768,163,0.1029,1023.09,22.97,1,11.45
3501,780,163,0.1030,1023.10,22.96,1,11.45
3551,800,160,0.1031,1023.11,22.97,1,11.45
3601,807,160,0.1037,1023.17,22.97,1,11.45
3651,840,154,0.1038,1023.18,22.97,1,11.45
3701,840,153,0.1044,1023.24,22.97,1,11.45
3751,869,153,0.1042,1023.22,22.97,1,11.45
3801,875,-154,0.1041,1023.21,22.97,1,11.44
3851,871,-154,0.1042,1023.22,22.97,1,11.45
3901,858,-161,0.1043,1023.23,22.97,1,11.45
3951,840,-160,0.1046,1023.26,22.97,1,11.45
4001,852,-160,0.1048,1023.28,22.97,1,11.45
4051,854,-154,0.1048,1023.28,22.97,1,11.44
4101,842,-154,0.1051,1023.31,22.97,1,11.45
4151,827,-156,0.1061,1023.40,22.97,1,11.45
4201,824,-154,0.1059,1023.39,22.97,1,11.44
4251,801,-154,0.1067,1023.46,22.97,1,11.45
4301,793,-151,0.1072,1023.51,22.97,1,11.45
4351,795,-151,0.1074,1023.53,22.97,1,11.45
4401,786,168,0.1076,1023.55,22.97,1,11.45
4451,804,167,0.1080,1023.59,22.97,1,11.45
4501,810,167,0.1078,1023.57,22.97,1,11.45
4551,835,165,0.1071,1023.50,22.97,1,11.45
4601,844,165,0.1077,1023.56,22.97,1,11.45
4651,867,159,0.1074,1023.53,22.97,1,11.45
4701,859,159,0.1073,1023.52,22.97,1,11.45
4751,893,153,0.1069,1023.48,22.97,1,11.44
4801,898,153,0.1067,1023.46,22.97,1,11.45
4851,915,-152,0.1062,1023.41,22.97,1,11.44
4901,918,-152,0.1055,1023.35,22.97,1,11.45
4951,908,-156,0.1051,1023.31,22.97,1,11.45
5001,906,-156,0.1050,1023.30,22.97,1,11.45
5051,903,-155,0.1048,1023.28,22.97,1,11.45
5101,894,-155,0.1045,1023.25,22.97,1,11.45
5151,896,-154,0.1041,1023.21,22.97,1,11.45
5201,882,-152,0.1041,1023.21,22.97,1,11.44
5251,872,-152,0.1041,1023.21,22.97,1,11.45
5301,872,0,0.1036,1023.16,22.97,1,11.45
5351,871,0,0.1038,1023.18,22.97,1,11.45
5401,871,164,0.1041,1023.21,22.97,1,11.45
5451,866,164,0.1037,1023.17,22.97,1,11.44
5501,876,164,0.1036,1023.16,22.97,1,11.45
5551,902,165,0.1035,1023.15,22.97,1,11.45
5601,903,165,0.1041,1023.21,22.97,1,11.45
5651,927,158,0.1038,1023.18,22.97,1,11.45
5701,923,158,0.1033,1023.13,22.97,1,11.45
5751,948,158,0.1028,1023.08,22.97,1,11.45
5801,965,154,0.1028,1023.08,22.97,1,11.45
5851,979,154,0.1027,1023.07,22.97,1,11.45
5901,992,-154,0.1026,1023.06,22.97,1,11.45
5951,992,-154,0.1025,1023.05,22.97,1,11.45
6001,978,-159,0.1027,1023.07,22.97,1,11.44
6051,982,-159,0.1029,1023.09,22.97,1,11.45
6101,962,-157,0.1031,1023.11,22.97,1,11.45
6151,965,-157,0.1033,1023.13,22.97,1,11.45
6201,969,-154,0.1038,1023.18,22.97,1,11.45
6251,953,-154,0.1038,1023.18,22.97,1,11.44
6301,952,-155,0.1037,1023.17,22.97,1,11.44
6351,936,-155,0.1048,1023.28,22.97,1,11.45
