time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_setpoint_mm
0.352,0.1058,0.204,0.0982,0.0,50.0
0.401,0.1058,0.204,0.0982,0.0,50.0
0.451,0.1055,0.204,0.0985,0.0,50.0
0.501,0.1055,0.204,0.0985,0.0,50.0
0.551,0.1055,0.204,0.0985,0.0,50.0
0.601,0.1055,0.204,0.0985,0.0,50.0
0.651,0.1055,0.204,0.0985,0.0,50.0
0.701,0.1055,0.204,0.0985,0.0,50.0
0.751,0.1053,0.204,0.0987,0.0,50.0
0.801,0.1053,0.204,0.0987,0.0,50.0
0.851,0.1053,0.204,0.0987,0.0,50.0
0.901,0.1053,0.204,0.0987,0.0,50.0
0.951,0.1053,0.204,0.0987,0.0,50.0
1.001,0.1053,0.204,0.0987,0.0,50.0
1.051,0.1051,0.204,0.0989,0.0,50.0
1.101,0.105,0.204,0.099,0.0,50.0
1.151,0.105,0.204,0.099,0.0,50.0
1.201,0.105,0.204,0.099,0.0,50.0
1.251,0.1049,0.204,0.0991,0.0,50.0
1.301,0.1049,0.204,0.0991,0.0,17.054218292236328
1.351,0.1049,0.204,0.0991,0.0,17.054218292236328
1.401,0.1049,0.204,0.0991,0.0,17.054218292236328
1.451,0.1049,0.204,0.0991,0.0,17.054218292236328
1.501,0.1049,0.204,0.0991,0.0,17.054218292236328
1.551,0.1049,0.204,0.0991,0.0,17.054218292236328
1.601,0.1049,0.204,0.0991,0.0,17.054218292236328
1.651,0.1049,0.204,0.0991,0.0,17.054218292236328
1.701,0.1049,0.204,0.0991,0.0,17.054218292236328
1.751,0.1049,0.204,0.0991,0.0,17.054218292236328
1.801,0.105,0.204,0.099,0.0,17.054218292236328
1.851,0.105,0.204,0.099,0.0,17.054218292236328
1.901,0.105,0.204,0.099,0.0,17.054218292236328
1.951,0.105,0.204,0.099,0.0,17.054218292236328
2.001,0.1051,0.204,0.0989,0.0,17.054218292236328
2.051,0.1051,0.204,0.0989,0.0,17.054218292236328
2.101,0.1052,0.204,0.0988,0.0,17.054218292236328
2.151,0.1053,0.204,0.0987,0.0,17.054218292236328
2.201,0.1057,0.204,0.0983,0.002,17.054218292236328
2.251,0.1058,0.204,0.0982,0.002,17.054218292236328
2.301,0.1061,0.204,0.0979,0.002,18.55421638488769
2.351,0.1062,0.204,0.0978,0.002,18.55421638488769
2.401,0.1064,0.204,0.0976,0.002,18.55421638488769
2.451,0.1064,0.204,0.0976,0.002,18.55421638488769
2.501,0.1066,0.204,0.0974,0.002,18.55421638488769
2.551,0.1066,0.204,0.0974,0.002,18.55421638488769
2.601,0.1066,0.204,0.0974,0.002,18.55421638488769
2.651,0.1066,0.204,0.0974,0.002,18.55421638488769
2.701,0.1066,0.204,0.0974,0.0,18.55421638488769
2.751,0.1066,0.204,0.0974,0.0,18.55421638488769
2.801,0.1066,0.204,0.0974,0.0,18.55421638488769
2.851,0.1064,0.204,0.0976,0.0,18.55421638488769
2.901,0.1064,0.204,0.0976,0.0,18.55421638488769
2.951,0.1061,0.204,0.0979,0.0,18.55421638488769
3.001,0.1058,0.204,0.0982,0.0,18.55421638488769
3.051,0.1053,0.204,0.0987,0.0,18.55421638488769
3.101,0.1047,0.204,0.0993,-0.004,18.55421638488769
3.151,0.104,0.204,0.1,-0.006,18.55421638488769
3.201,0.1038,0.204,0.1002,-0.006,18.55421638488769
3.251,0.1038,0.204,0.1002,-0.006,18.55421638488769
3.301,0.1037,0.204,0.1003,-0.006,20.054214477539062
3.351,0.1034,0.204,0.1006,-0.006,20.054214477539062
3.401,0.103,0.204,0.101,-0.006,20.054214477539062
3.451,0.1029,0.204,0.1011,-0.006,20.054214477539062
3.501,0.1029,0.204,0.1011,-0.004,20.054214477539062
3.551,0.1029,0.204,0.1011,-0.002,20.054214477539062
3.601,0.1029,0.204,0.1011,-0.002,20.054214477539062
3.651,0.1029,0.204,0.1011,0.0,20.054214477539062
3.701,0.1029,0.204,0.1011,0.0,20.054214477539062
3.751,0.1029,0.204,0.1011,0.0,20.054214477539062
3.801,0.1029,0.204,0.1011,0.0,20.054214477539062
3.851,0.103,0.204,0.101,0.0,20.054214477539062
3.901,0.1031,0.204,0.1009,0.0,20.054214477539062
3.951,0.1037,0.204,0.1003,0.0,20.054214477539062
4.001,0.1038,0.204,0.1002,0.0,20.054214477539062
4.051,0.1041,0.204,0.0999,0.002,20.054214477539062
4.101,0.1042,0.204,0.0998,0.002,20.054214477539062
4.151,0.1042,0.204,0.0998,0.002,20.054214477539062
4.201,0.1043,0.204,0.0997,0.002,20.054214477539062
4.251,0.1044,0.204,0.0996,0.002,20.054214477539062
4.301,0.1046,0.204,0.0994,0.002,21.554214477539062
4.351,0.1048,0.204,0.0992,0.002,21.554214477539062
4.401,0.1048,0.204,0.0992,0.002,21.554214477539062
4.451,0.1051,0.204,0.0989,0.002,21.554214477539062
4.501,0.1059,0.204,0.0981,0.002,21.554214477539062
4.551,0.1061,0.204,0.0979,0.004,21.554214477539062
4.601,0.1067,0.204,0.0973,0.004,21.554214477539062
4.651,0.1071,0.204,0.0969,0.004,21.554214477539062
4.701,0.1072,0.204,0.0968,0.004,21.554214477539062
4.751,0.1072,0.204,0.0968,0.004,21.554214477539062
4.801,0.1072,0.204,0.0968,0.004,21.554214477539062
4.851,0.1072,0.204,0.0968,0.004,21.554214477539062
4.901,0.1072,0.204,0.0968,0.002,21.554214477539062
4.951,0.1072,0.204,0.0968,0.0,21.554214477539062
5.001,0.1072,0.204,0.0968,0.0,21.554214477539062
5.051,0.1071,0.204,0.0969,0.0,21.554214477539062
5.101,0.1069,0.204,0.0971,0.0,21.554214477539062
5.151,0.1067,0.204,0.0973,0.0,21.554214477539062
5.201,0.1062,0.204,0.0978,0.0,21.554214477539062
5.251,0.1055,0.204,0.0985,-0.002,21.554214477539062
5.301,0.1051,0.204,0.0989,-0.004,23.05421257019043
5.351,0.105,0.204,0.099,-0.004,23.05421257019043
5.401,0.1048,0.204,0.0992,-0.004,23.05421257019043
5.451,0.1045,0.204,0.0995,-0.004,23.05421257019043
5.501,0.1041,0.204,0.0999,-0.006,23.05421257019043
5.551,0.1041,0.204,0.0999,-0.006,23.05421257019043
5.601,0.1041,0.204,0.0999,-0.006,23.05421257019043
5.651,0.1041,0.204,0.0999,-0.004,23.05421257019043
5.701,0.1041,0.204,0.0999,-0.002,23.05421257019043
5.751,0.1038,0.204,0.1002,-0.002,23.05421257019043
5.801,0.1038,0.204,0.1002,0.0,23.05421257019043
5.851,0.1037,0.204,0.1003,0.0,23.05421257019043
5.901,0.1036,0.204,0.1004,0.0,23.05421257019043
5.951,0.1036,0.204,0.1004,0.0,23.05421257019043
6.001,0.1035,0.204,0.1005,0.0,23.05421257019043
6.051,0.1033,0.204,0.1007,-0.002,23.05421257019043
6.101,0.1031,0.204,0.1009,-0.002,23.05421257019043
6.151,0.1031,0.204,0.1009,-0.002,23.05421257019043
6.201,0.1031,0.204,0.1009,-0.002,23.05421257019043
6.251,0.1031,0.204,0.1009,-0.002,23.05421257019043
6.301,0.1031,0.204,0.1009,0.0,24.5542106628418
6.351,0.1031,0.204,0.1009,0.0,24.5542106628418
6.401,0.1031,0.204,0.1009,0.0,24.5542106628418
6.451,0.1031,0.204,0.1009,0.0,24.5542106628418
6.501,0.1033,0.204,0.1007,0.0,24.5542106628418
6.551,0.1037,0.204,0.1003,0.0,24.5542106628418
6.601,0.1038,0.204,0.1002,0.0,24.5542106628418
6.651,0.1038,0.204,0.1002,0.0,24.5542106628418
6.701,0.1048,0.204,0.0992,0.0,24.5542106628418
6.751,0.1052,0.204,0.0988,0.002,24.5542106628418
6.801,0.1052,0.204,0.0988,0.002,24.5542106628418
6.851,0.1058,0.204,0.0982,0.004,24.5542106628418
6.901,0.1058,0.204,0.0982,0.004,24.5542106628418
6.951,0.1058,0.204,0.0982,0.002,24.5542106628418
7.001,0.1058,0.204,0.0982,0.0,24.5542106628418
7.051,0.1058,0.204,0.0982,0.0,24.5542106628418
7.101,0.1058,0.204,0.0982,0.0,24.5542106628418
7.151,0.1058,0.204,0.0982,0.0,24.5542106628418
7.201,0.1058,0.204,0.0982,0.0,24.5542106628418
7.251,0.1055,0.204,0.0985,0.0,24.5542106628418
7.301,0.1055,0.204,0.0985,0.0,26.054208755493164
7.351,0.1055,0.204,0.0985,0.0,26.054208755493164
7.401,0.1052,0.204,0.0988,0.0,26.054208755493164
7.451,0.1052,0.204,0.0988,0.0,26.054208755493164
7.501,0.1052,0.204,0.0988,0.0,26.054208755493164
7.551,0.1052,0.204,0.0988,0.0,26.054208755493164
7.601,0.1052,0.204,0.0988,0.0,26.054208755493164
7.651,0.1052,0.204,0.0988,0.0,26.054208755493164
7.701,0.1051,0.204,0.0989,0.0,26.054208755493164
7.751,0.1051,0.204,0.0989,0.0,26.054208755493164
7.801,0.1051,0.204,0.0989,0.0,26.054208755493164
7.851,0.105,0.204,0.099,0.0,26.054208755493164
7.901,0.105,0.204,0.099,0.0,26.054208755493164
7.951,0.1048,0.204,0.0992,0.0,26.054208755493164
8.001,0.1047,0.204,0.0993,0.0,26.054208755493164
8.051,0.1044,0.204,0.0996,-0.002,26.054208755493164
8.101,0.1041,0.204,0.0999,-0.002,26.054208755493164
8.151,0.104,0.204,0.1,-0.002,26.054208755493164
8.201,0.1039,0.204,0.1001,-0.002,26.054208755493164
8.251,0.1034,0.204,0.1006,-0.002,26.054208755493164
8.301,0.1034,0.204,0.1006,-0.002,27.5542106628418
8.351,0.1034,0.204,0.1006,-0.002,27.5542106628418
8.401,0.1034,0.204,0.1006,-0.002,27.5542106628418
8.451,0.1034,0.204,0.1006,-0.002,27.5542106628418
8.501,0.1034,0.204,0.1006,0.0,27.5542106628418
8.551,0.1034,0.204,0.1006,0.0,27.5542106628418
8.601,0.1034,0.204,0.1006,0.0,27.5542106628418
8.651,0.1034,0.204,0.1006,0.0,27.5542106628418
8.701,0.1035,0.204,0.1005,0.0,27.5542106628418
8.751,0.1036,0.204,0.1004,0.0,27.5542106628418
8.801,0.1036,0.204,0.1004,0.0,27.5542106628418
8.851,0.1038,0.204,0.1002,0.0,27.5542106628418
8.901,0.1042,0.204,0.0998,0.0,27.5542106628418
8.951,0.1044,0.204,0.0996,0.002,27.5542106628418
9.001,0.1044,0.204,0.0996,0.002,27.5542106628418
9.051,0.1044,0.204,0.0996,0.002,27.5542106628418
9.101,0.1045,0.204,0.0995,0.002,27.5542106628418
9.151,0.1045,0.204,0.0995,0.002,27.5542106628418
9.201,0.1045,0.204,0.0995,0.0,27.5542106628418
9.251,0.1046,0.204,0.0994,0.002,27.5542106628418
9.301,0.1046,0.204,0.0994,0.0,29.05421257019043
9.351,0.1046,0.204,0.0994,0.0,29.05421257019043
9.401,0.1046,0.204,0.0994,0.0,29.05421257019043
9.451,0.1047,0.204,0.0993,0.0,29.05421257019043
9.501,0.1047,0.204,0.0993,0.0,29.05421257019043
9.551,0.1047,0.204,0.0993,0.0,29.05421257019043
9.601,0.1049,0.204,0.0991,0.0,29.05421257019043
9.651,0.1049,0.204,0.0991,0.0,29.05421257019043
9.701,0.105,0.204,0.099,0.0,29.05421257019043
9.751,0.1052,0.204,0.0988,0.0,29.05421257019043
9.801,0.1052,0.204,0.0988,0.0,29.05421257019043
9.851,0.1052,0.204,0.0988,0.0,29.05421257019043
9.901,0.1052,0.204,0.0988,0.0,29.05421257019043
9.951,0.1052,0.204,0.0988,0.0,29.05421257019043
10.001,0.1052,0.204,0.0988,0.0,29.05421257019043
10.051,0.1052,0.204,0.0988,0.0,29.05421257019043
10.101,0.1052,0.204,0.0988,0.0,29.05421257019043
10.151,0.105,0.204,0.099,0.0,29.05421257019043
10.201,0.1046,0.204,0.0994,0.0,29.05421257019043
10.251,0.1045,0.204,0.0995,0.0,29.05421257019043
10.301,0.1045,0.204,0.0995,0.0,30.5542106628418
10.351,0.104,0.204,0.1,0.0,30.5542106628418
10.401,0.1038,0.204,0.1002,-0.002,30.5542106628418
10.451,0.1038,0.204,0.1002,-0.002,30.5542106628418
10.501,0.1036,0.204,0.1004,-0.004,30.5542106628418
10.551,0.1035,0.204,0.1005,-0.004,30.5542106628418
10.601,0.1035,0.204,0.1005,-0.002,30.5542106628418
10.651,0.1035,0.204,0.1005,-0.002,30.5542106628418
10.701,0.1035,0.204,0.1005,0.0,30.5542106628418
10.751,0.1035,0.204,0.1005,0.0,30.5542106628418
10.801,0.1035,0.204,0.1005,0.0,30.5542106628418
10.851,0.1035,0.204,0.1005,0.0,30.5542106628418
10.901,0.1035,0.204,0.1005,0.0,30.5542106628418
10.951,0.1035,0.204,0.1005,0.0,30.5542106628418
11.001,0.1035,0.204,0.1005,0.0,30.5542106628418
11.051,0.1036,0.204,0.1004,0.0,30.5542106628418
11.101,0.1036,0.204,0.1004,0.0,30.5542106628418
11.151,0.1036,0.204,0.1004,0.0,30.5542106628418
11.201,0.1036,0.204,0.1004,0.0,30.5542106628418
11.251,0.1036,0.204,0.1004,0.0,30.5542106628418
11.301,0.1037,0.204,0.1003,0.0,29.05421257019043
11.351,0.1037,0.204,0.1003,0.0,29.05421257019043
11.401,0.1037,0.204,0.1003,0.0,29.05421257019043
11.451,0.1038,0.204,0.1002,0.0,29.05421257019043
11.501,0.1038,0.204,0.1002,0.0,29.05421257019043
11.551,0.1038,0.204,0.1002,0.0,29.05421257019043
11.601,0.1038,0.204,0.1002,0.0,29.05421257019043
11.651,0.1038,0.204,0.1002,0.0,29.05421257019043
11.701,0.1041,0.204,0.0999,0.0,29.05421257019043
11.751,0.1044,0.204,0.0996,0.0,29.05421257019043
11.801,0.1046,0.204,0.0994,0.0,29.05421257019043
11.851,0.1047,0.204,0.0993,0.002,29.05421257019043
11.901,0.1048,0.204,0.0992,0.002,29.05421257019043
11.951,0.105,0.204,0.099,0.002,29.05421257019043
12.001,0.105,0.204,0.099,0.002,29.05421257019043
12.052,0.105,0.204,0.099,0.002,29.05421257019043
12.101,0.105,0.204,0.099,0.002,29.05421257019043
12.151,0.105,0.204,0.099,0.002,29.05421257019043
12.201,0.105,0.204,0.099,0.0,29.05421257019043
12.251,0.105,0.204,0.099,0.0,29.05421257019043
12.301,0.105,0.204,0.099,0.0,30.5542106628418
12.351,0.1049,0.204,0.0991,0.0,30.5542106628418
12.401,0.1049,0.204,0.0991,0.0,30.5542106628418
12.451,0.1048,0.204,0.0992,0.0,30.5542106628418
12.501,0.1047,0.204,0.0993,0.0,30.5542106628418
12.551,0.1043,0.204,0.0997,0.0,30.5542106628418
12.601,0.1043,0.204,0.0997,0.0,30.5542106628418
12.651,0.1041,0.204,0.0999,-0.002,30.5542106628418
12.701,0.104,0.204,0.1,-0.002,30.5542106628418
12.751,0.104,0.204,0.1,-0.002,30.5542106628418
12.801,0.1038,0.204,0.1002,-0.002,30.5542106628418
12.851,0.1038,0.204,0.1002,-0.002,30.5542106628418
12.901,0.1038,0.204,0.1002,-0.002,30.5542106628418
12.951,0.1035,0.204,0.1005,-0.002,30.5542106628418
13.001,0.1034,0.204,0.1006,-0.002,30.5542106628418
13.051,0.1034,0.204,0.1006,-0.002,30.5542106628418
13.101,0.1033,0.204,0.1007,-0.002,30.5542106628418
13.151,0.1033,0.204,0.1007,0.0,30.5542106628418
13.201,0.1033,0.204,0.1007,0.0,30.5542106628418
13.251,0.1033,0.204,0.1007,0.0,30.5542106628418
13.301,0.1032,0.204,0.1008,0.0,32.0542106628418
13.351,0.1032,0.204,0.1008,0.0,32.0542106628418
13.401,0.1032,0.204,0.1008,0.0,32.0542106628418
13.451,0.1033,0.204,0.1007,0.0,32.0542106628418
13.501,0.1033,0.204,0.1007,0.0,32.0542106628418
